Anime,Total
Yojouhan Shinwa Taikei,10.0
Konjiki no Gash Bell!!,10.0
Grisaia no Kajitsu,8.0
Nichijou,8.0
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",6.0
Nana,6.0
Barakamon,5.0
Kuzu no Honkai,5.0
Prison School,4.0
Aria the Origination,3.0
Tonikaku Kawaii,3.0
Hibike! Euphonium,3.0
Yamada-kun to 7-nin no Majo: Mou Hitotsu no Suzaku-sai,2.0
Sora yori mo Tooi Basho,2.0
Saenai Heroine no Sodatekata,2.0
Yuru Camp,2.0
Shelter (Music),1.0
Isshuukan Friends.,1.0
Uchuu Kyoudai,1.0
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,1.0
Gakkougurashi!,1.0
Danshi Koukousei no Nichijou,1.0
Baka to Test to Shoukanjuu,0.0
Haibane Renmei,0.0
Nagi no Asu kara,0.0
