Anime,Total_Norm_Score,Total_Norm_Count,ResuladoF
Yojouhan Shinwa Taikei,0.9166666666666665,1.0,0.9166666666666665
Konjiki no Gash Bell!!,0.833333333333333,1.0,0.833333333333333
Grisaia no Kajitsu,0.9166666666666665,0.8,0.7333333333333333
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",0.9166666666666665,0.6,0.5499999999999999
Nichijou,0.6388888888888888,0.8,0.5111111111111111
Barakamon,0.6388888888888888,0.5,0.3194444444444444
Hibike! Euphonium,1.0,0.3,0.3
Aria the Origination,0.9166666666666665,0.3,0.27499999999999997
Saenai Heroine no Sodatekata,0.9166666666666665,0.2,0.18333333333333332
Prison School,0.44444444444444464,0.4,0.17777777777777787
Nana,0.2777777777777777,0.6,0.1666666666666666
Yamada-kun to 7-nin no Majo: Mou Hitotsu no Suzaku-sai,0.7222222222222223,0.2,0.14444444444444446
Kuzu no Honkai,0.2777777777777777,0.5,0.13888888888888884
Tonikaku Kawaii,0.44444444444444464,0.3,0.1333333333333334
Yuru Camp,0.6388888888888888,0.2,0.12777777777777777
Shelter (Music),0.9166666666666665,0.1,0.09166666666666666
Uchuu Kyoudai,0.833333333333333,0.1,0.08333333333333331
Danshi Koukousei no Nichijou,0.6388888888888888,0.1,0.06388888888888888
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,0.5555555555555554,0.1,0.05555555555555554
Sora yori mo Tooi Basho,0.2777777777777777,0.2,0.05555555555555554
Gakkougurashi!,0.36111111111111116,0.1,0.036111111111111115
Baka to Test to Shoukanjuu,0.5555555555555554,0.0,0.0
Haibane Renmei,0.2777777777777777,0.0,0.0
Nagi no Asu kara,0.7222222222222223,0.0,0.0
Isshuukan Friends.,0.0,0.1,0.0
