Anime,1st recomm,2nd recomm,3rd recomm
Nichijou,Boku no Hero Academia,Spy x Family,Sora yori mo Tooi Basho
Uchuu Kyoudai,Clockwork Planet,Trigun,Tengen Toppa Gurren Lagann
Aria the Origination,Kyoukai no Kanata,Clockwork Planet,Saint Seiya
Yuru Camp,Blue Period,3-gatsu no Lion,Sono Bisque Doll wa Koi wo Suru
Koukaku Kidoutai: Stand Alone Complex,Dimension W,Bubble,Cyberpunk: Edgerunners
Yojouhan Shinwa Taikei,Howl no Ugoku Shiro,Cike Wu Liuqi,Hotarubi no Mori e
Nana,5-toubun no Hanayome,"Fuufu Ijou, Koibito Miman.",Gekkan Shoujo Nozaki-kun
Sora yori mo Tooi Basho,Detective Conan,Spy x Family,Boku no Hero Academia
11eyes,Shuumatsu no WalkÃ¼re,K,Taboo Tattoo
3-gatsu no Lion,Violet Evergarden,Yuru Camp,Kumichou Musume to Sewagakari
5-toubun no Hanayome,Itazura na Kiss,Rikei ga Koi ni Ochita no de Shoumei shitemita.,"Kanojo, Okarishimasu"
86,Tengen Toppa Gurren Lagann,Inuyashiki,Code Geass: Hangyaku no Lelouch
91 Days,Young Black Jack,Princess Principal,Rainbow: Nisha Rokubou no Shichinin
ACCA: 13-ku Kansatsu-ka,Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru,Id:Invaded,Psycho-Pass
Ajin,Koutetsujou no Kabaneri,Tokyo Ghoul,Mieruko-chan
Akame ga Kill!,Fullmetal Alchemist: Brotherhood,Tate no Yuusha no Nariagari,Kami no Tou
Akudama Drive,Cyberpunk: Edgerunners,Bubble,Seikaisuru Kado
Alice to Zouroku,Odd Taxi,Ranpo Kitan: Game of Laplace,Saihate no Paladin
All Out!!,Days (TV),Prince of Stride: Alternative,Kuroko no Basket
Angel Beats!,Gakusen Toshi Asterisk,Makai Ouji: Devils and Realist,Saiyuuki Reload Blast
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,Mushishi,Natsume Yuujinchou,Mob Psycho 100
Another,Tokyo Ghoul,Ajin,Mieruko-chan
Ansatsu Kyoushitsu,Shijou Saikyou no Deshi Kenichi,Kuroko no Basket,Iwa Kakeru!: Sport Climbing Girls
Ao Ashi,Buzzer Beater,Hanebado!,Captain Tsubasa
Ao Haru Ride,Tonari no Kaibutsu-kun,Kanojo mo Kanojo,Masamune-kun no Revenge
Ao no Exorcist: Kyoto Fujouou-hen,"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru",BlazBlue: Alter Memory,Magi: The Labyrinth of Magic
Aoharu x Kikanjuu,Keppeki Danshi! Aoyama-kun,SKâˆž,Major 2nd
Arcana Famiglia,Hataraku Maou-sama!,Shinigami Bocchan to Kuro Maid,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai
Ashita no Joe,Megalo Box,Uma Musume: Pretty Derby,Eyeshield 21
Baccano!,Soul Eater,Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,Mairimashita! Iruma-kun
Bakemonogatari,Fate/stay night,Shinigami Bocchan to Kuro Maid,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai
Bakuman.,"Kanojo, Okarishimasu","Fuufu Ijou, Koibito Miman.",5-toubun no Hanayome
Ballroom e Youkoso,Haikyuu!!,Jaku-Chara Tomozaki-kun,Suki tte Ii na yo.
Banana Fish,Akame ga Kill!,Fullmetal Alchemist: Brotherhood,Hai to Gensou no Grimgar
Battle Spirits: Burning Soul,Captain Tsubasa,Chainsaw Man,Jormungand
Beastars,Kakegurui,Ao Haru Ride,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen
Beyblade Burst,Divine Gate,Star Wars: Visions,Ashita no Joe
Bishoujo Senshi Sailor Moon,Nana,"Fuufu Ijou, Koibito Miman.",Gekkan Shoujo Nozaki-kun
Black Bullet,Made in Abyss,World Trigger,Subete ga F ni Naru
Black Cat (TV),Darker than Black: Kuro no Keiyakusha,Darwin's Game,One Punch Man
Black Clover,Toriko,Pokemon (2019),Digimon Adventure
Blade,Koutetsujou no Kabaneri,Gantz,Highschool of the Dead
BlazBlue: Alter Memory,Tensei shitara Ken Deshita,"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru",Magi: The Labyrinth of Magic
Bleach,Bungou Stray Dogs,Yozakura Quartet: Hana no Uta,Shuumatsu no WalkÃ¼re
Blood Lad,Yuuâ˜†Yuuâ˜†Hakusho,Ushio to Tora (TV),Saiyuuki Reload Blast
Blue Period,Violet Evergarden,Kumichou Musume to Sewagakari,Yuru Camp
Bocchi the Rock!,Spy x Family,Boku no Hero Academia,Sora yori mo Tooi Basho
Boku dake ga Inai Machi,Summertime Render,Durarara!!,Ajin
Boku no Hero Academia,Digimon Adventure,Pokemon (2019),Toriko
Bokutachi no Remake,Sakura-sou no Pet na Kanojo,"Ijiranaide, Nagatoro-san",Senpai ga Uzai Kouhai no Hanashi
Brave 10,Yasuke,Rurouni Kenshin: Meiji Kenkaku Romantan,Gintama
