Anime,1st recomm,2nd recomm,3rd recomm
Nichijou,3-gatsu no Lion 2nd Season,Tomodachi Game,Darker than Black: Ryuusei no Gemini
Uchuu Kyoudai,Dragon Ball Z,The Last: Naruto the Movie,Spy x Family Part 2
Aria the Origination,Uma Musume: Pretty Derby,"Fuufu Ijou, Koibito Miman.",3-gatsu no Lion 2nd Season
Yuru Camp,Kimetsu no Yaiba,Fruits Basket,Yakusoku no Neverland
Yojouhan Shinwa Taikei,5-toubun no Hanayome,Bokutachi no Remake,Seirei Gensouki
Nana,Kanojo mo Kanojo,"Kanojo, Okarishimasu",Bocchi the Rock!
Sora yori mo Tooi Basho,Ao Haru Ride,Blue Period,11eyes
Tonikaku Kawaii,Code:Breaker,Kono Subarashii Sekai ni Shukufuku wo!,Wotaku ni Koi wa Muzukashii
Kuzu no Honkai,Kanojo mo Kanojo,Gekkan Shoujo Nozaki-kun,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen
Yamada-kun to 7-nin no Majo: Mou Hitotsu no Suzaku-sai,Busou Shoujo Machiavellianism,Kizumonogatari I: Tekketsu-hen,Gekkan Shoujo Nozaki-kun
Saenai Heroine no Sodatekata,Bakuman. 2nd Season,Yu☆Gi☆Oh! Duel Monsters,Sono Bisque Doll wa Koi wo Suru
Grisaia no Kajitsu,Another,Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,Boku ga Aishita Subete no Kimi e
Baka to Test to Shoukanjuu,Jaku-Chara Tomozaki-kun,Digimon Adventure 02,Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation
Isshuukan Friends.,"Komi-san wa, Comyushou desu. 2nd Season","Kanojo, Okarishimasu",Senpai ga Uzai Kouhai no Hanashi
Konjiki no Gash Bell!!,Kimetsu no Yaiba Movie: Mugen Ressha-hen,Fairy Tail Movie 2: Dragon Cry,Bleach
Prison School,Great Teacher Onizuka,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e 2nd Season,Mairimashita! Iruma-kun 3rd Season
Gakkougurashi!,"Komi-san wa, Comyushou desu.",Kimi no Na wa.,Mairimashita! Iruma-kun 3rd Season
"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",Shaman King,Baki,Zankyou no Terror
Haibane Renmei,Fruits Basket 1st Season,Gleipnir,Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?
Nagi no Asu kara,Bubble,Summertime Render,Hajime no Ippo
Hibike! Euphonium,Kokoro Connect,Boku ga Aishita Subete no Kimi e,Another
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,High School DxD,Tonari no Kaibutsu-kun,"Komi-san wa, Comyushou desu."
Danshi Koukousei no Nichijou,Kuroko no Basket,Great Teacher Onizuka,Kobayashi-san Chi no Maid Dragon S
Shelter (Music),Saiki Kusuo no Ψ-nan,Dragon Ball Super,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.
Barakamon,Shinigami Bocchan to Kuro Maid,Mairimashita! Iruma-kun,Ushio to Tora (TV)
11eyes,Gleipnir,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,Kimetsu no Yaiba: Yuukaku-hen
3-gatsu no Lion,Mairimashita! Iruma-kun,Sakura-sou no Pet na Kanojo,Bokutachi no Remake
3-gatsu no Lion 2nd Season,Tomodachi Game,Another,Clannad: After Story
5-toubun no Hanayome,Boku ga Aishita Subete no Kimi e,Yojouhan Shinwa Taikei,Mairimashita! Iruma-kun
5-toubun no Hanayome ∬,Natsume Yuujinchou Roku,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,Fruits Basket 2nd Season
5-toubun no Hanayome Movie,Noragami Aragoto,Cardcaptor Sakura: Clear Card-hen,Kokoro Connect: Michi Random
86,Gintama,Romeo x Juliet,World Trigger 2nd Season
86 Part 2,Gintama,Overlord III,Shingeki no Kyojin Season 3 Part 2
91 Days,Dragon Ball Z,Boku dake ga Inai Machi,Kokkoku
