Anime,1st recomm,2nd recomm,3rd recomm
Nichijou,"Ijiranaide, Nagatoro-san",Deatte 5-byou de Battle,Sono Bisque Doll wa Koi wo Suru
Uchuu Kyoudai,Jujutsu Kaisen,Overlord,Bakuman.
Aria the Origination,"Fuufu Ijou, Koibito Miman.",Kobayashi-san Chi no Maid Dragon,Kimi no Na wa.
Yuru Camp,Yakusoku no Neverland,Kanojo mo Kanojo,Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken
Koukaku Kidoutai: Stand Alone Complex,Akudama Drive,Cowboy Bebop,Boku no Hero Academia
Yojouhan Shinwa Taikei,Bokutachi no Remake,Hotarubi no Mori e,Bungou Stray Dogs
Nana,Kimi no Na wa.,Gekkan Shoujo Nozaki-kun,Uma Musume: Pretty Derby
Sora yori mo Tooi Basho,Alice to Zouroku,Elfen Lied,InuYasha
Tonikaku Kawaii,Shuumatsu no Walkyrie,Gintama,Cyberpunk: Edgerunners
11eyes,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",Naruto,Claymore
3-gatsu no Lion,Bakuman.,Great Teacher Onizuka,Kimi no Na wa.
5-toubun no Hanayome,Charlotte,Tonari no Kaibutsu-kun,High School DxD
86,God Eater,Spy x Family,Saiyuuki Reload Blast
91 Days,Kokkoku,Kill la Kill,Devil May Cry
ACCA: 13-ku Kansatsu-ka,Kanojo mo Kanojo,Higurashi no Naku Koro ni,Dr. Stone
Ajin,Owari no Seraph,God Eater,World Trigger
Akame ga Kill!,86,God Eater,Koutetsujou no Kabaneri
Akudama Drive,Durarara!!,Cowboy Bebop,World Trigger
Alice to Zouroku,High School DxD,Kobayashi-san Chi no Maid Dragon,Ao Haru Ride
All Out!!,Sword Art Online,Keijo!!!!!!!!,Saint Seiya
Angel Beats!,Boku dake ga Inai Machi,Violet Evergarden,God Eater
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,Mirai Nikki (TV),Horimiya,Kiznaiver
Another,Ansatsu Kyoushitsu,Tonari no Kaibutsu-kun,High School DxD
Ansatsu Kyoushitsu,Ranpo Kitan: Game of Laplace,"Komi-san wa, Comyushou desu.",Subete ga F ni Naru
Ao Ashi,Deadman Wonderland,BlueLock,Shakunetsu Kabaddi
Ao Haru Ride,Aoharu x Kikanjuu,Katekyo Hitman Reborn!,Masamune-kun no Revenge
Ao no Exorcist: Kyoto Fujouou-hen,Naruto,Bleach,Mousou Dairinin
Aoharu x Kikanjuu,Alice to Zouroku,High School DxD,Katekyo Hitman Reborn!
Arcana Famiglia,Gangsta.,Hellsing,Magi: The Labyrinth of Magic
Ashita no Joe,Re:Zero kara Hajimeru Isekai Seikatsu,Baki,Taboo Tattoo
Baccano!,Fate/stay night,Kill la Kill,Odd Taxi
Bakemonogatari,Mahouka Koukou no Rettousei,Fate/stay night,Detective Conan
Bakuman.,"Komi-san wa, Comyushou desu.",Devil May Cry,Yowamushi Pedal
Ballroom e Youkoso,"Komi-san wa, Comyushou desu.",Katekyo Hitman Reborn!,Charlotte
Banana Fish,Baccano!,Gokushufudou,ChainsawMan
Battle Spirits: Burning Soul,Sword Art Online,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",Kingdom
Beastars,Ao no Exorcist: Kyoto Fujouou-hen,Jujutsu Kaisen,86
Beyblade Burst,Jaku-Chara Tomozaki-kun,Shijou Saikyou no Deshi Kenichi,Ga-Rei: Zero
Bishoujo Senshi Sailor Moon,Overlord,Uchuu Kyoudai,Tonikaku Kawaii
Black Bullet,Owari no Seraph,God Eater,Elfen Lied
