Anime,1st recomm,2nd recomm,3rd recomm
11eyes,Shuumatsu no Walküre,K,Taboo Tattoo
3-gatsu no Lion,Violet Evergarden,Kumichou Musume to Sewagakari,Bokutachi no Remake
5-toubun no Hanayome,5-toubun no Hanayome,Itazura na Kiss,"Fuufu Ijou, Koibito Miman."
86,Code Geass: Hangyaku no Lelouch,Inuyashiki,Tengen Toppa Gurren Lagann
91 Days,Young Black Jack,Princess Principal,Rainbow: Nisha Rokubou no Shichinin
ACCA: 13-ku Kansatsu-ka,Death Note,Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru,Monster
Aggressive Retsuko (ONA),Kobayashi-san Chi no Maid Dragon,Ranma ½,Great Teacher Onizuka
Ajin,Koutetsujou no Kabaneri,Tokyo Ghoul,Mieruko-chan
Akame ga Kill!,Hai to Gensou no Grimgar,Kami no Tou,Goblin Slayer
Akudama Drive,Dimension W,Seikaisuru Kado,Divine Gate
Alice to Zouroku,Odd Taxi,Ranpo Kitan: Game of Laplace,Ousama Ranking
All Out!!,Re-Main,Prince of Stride: Alternative,Kuroko no Basket
Angel Beats!,Gakusen Toshi Asterisk,Makai Ouji: Devils and Realist,Saiyuuki Reload Blast
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,Mushishi,Natsume Yuujinchou,Mob Psycho 100
Another,Tokyo Ghoul,Deadman Wonderland,Ajin
Ansatsu Kyoushitsu,Shijou Saikyou no Deshi Kenichi,Kuroko no Basket,Shakunetsu Kabaddi
Ao Ashi,Blue Lock,Buzzer Beater,Captain Tsubasa
Ao Haru Ride,Horimiya,Orange,Nisekoi
Ao no Exorcist,Ushio to Tora (TV),Devil May Cry,Yuu☆Yuu☆Hakusho
Aoharu x Kikanjuu,Keppeki Danshi! Aoyama-kun,SK∞,Major 2nd
Aoi Sekai no Chuushin de,Digimon Adventure,Toriko,Goblin Slayer
Arcana Famiglia,Hataraku Maou-sama!,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,Shinigami Bocchan to Kuro Maid
Ashita no Joe,Megalo Box,Uma Musume: Pretty Derby,Aoharu x Kikanjuu
Baccano!,Soul Eater,Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,Mairimashita! Iruma-kun
Bakemonogatari,Fate/stay night,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,Shinigami Bocchan to Kuro Maid
Baki,Hanma Baki: Son of Ogre,Hinomaru Zumou,Battle Spirits: Burning Soul
Bakuman.,5-toubun no Hanayome,5-toubun no Hanayome,Gekkan Shoujo Nozaki-kun
Ballroom e Youkoso,Slam Dunk,Suki tte Ii na yo.,Jaku-Chara Tomozaki-kun
Banana Fish,Tate no Yuusha no Nariagari,Hai to Gensou no Grimgar,Akame ga Kill!
Battle Spirits: Burning Soul,Captain Tsubasa,Golden Kamuy,JoJo no Kimyou na Bouken Part 6: Stone Ocean
Beastars,Kakegurui,Ao Haru Ride,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen
Beyblade Burst,Aoharu x Kikanjuu,Eyeshield 21,Ashita no Joe
Bishoujo Senshi Sailor Moon,5-toubun no Hanayome,Gekkan Shoujo Nozaki-kun,"Kanojo, Okarishimasu"
Black Bullet,Made in Abyss,World Trigger,Saint Seiya
Black Cat (TV),Dragon Ball,One Piece,Naruto
Black Clover,Digimon Adventure,Pokemon XY,Toriko
Blade,Koutetsujou no Kabaneri,Highschool of the Dead,Gantz
BlazBlue: Alter Memory,"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru",Goblin Slayer,Akame ga Kill!
Bleach,Bungou Stray Dogs,Yozakura Quartet: Hana no Uta,One Punch Man
Blood Lad,Yuu☆Yuu☆Hakusho,Ushio to Tora (TV),Saiyuuki Reload Blast
Blue Lock,Buzzer Beater,Ao Ashi,Captain Tsubasa
Blue Period,Violet Evergarden,Kumichou Musume to Sewagakari,Bokutachi no Remake
Boku dake ga Inai Machi,Summertime Render,Durarara!!,Ajin
Boku no Hero Academia,Toriko,Pokemon XY,Digimon Adventure
Bokutachi no Remake,Sakura-sou no Pet na Kanojo,Gokushufudou,"Ijiranaide, Nagatoro-san"
Brave 10,Yasuke,Rurouni Kenshin: Meiji Kenkaku Romantan,Gintama
Btooom!,Subete ga F ni Naru,Black Bullet,Divine Gate
Bungou Stray Dogs,Shaman King,Yozakura Quartet: Hana no Uta,One Punch Man
Bus Gamer,Tomodachi Game,Chainsaw Man,Jormungand
Busou Shoujo Machiavellianism,Shijou Saikyou no Deshi Kenichi,Shakunetsu Kabaddi,Kuroko no Basket
Buzzer Beater,Hanebado!,Ao Ashi,Captain Tsubasa
C: The Money of Soul and Possibility Control,Munou na Nana,Darker than Black: Kuro no Keiyakusha,Darwin's Game
Captain Tsubasa,Blue Lock,Hanebado!,Ao Ashi
