Anime,1st recomm,2nd recomm,3rd recomm
11eyes,Owari no Seraph,Mieruko-chan,Aoharu x Kikanjuu
3-gatsu no Lion,Sakura-sou no Pet na Kanojo,Bokutachi no Remake,Jaku-Chara Tomozaki-kun
5-toubun no Hanayome,Tonari no Kaibutsu-kun,Mairimashita! Iruma-kun,Tomodachi Game
86,Romeo x Juliet,Lycoris Recoil,Gokushufudou
91 Days,Kokkoku,Seirei Gensouki,JoJo no Kimyou na Bouken (TV)
ACCA: 13-ku Kansatsu-ka,Shuumatsu no Walküre,Arcana Famiglia,Higurashi no Naku Koro ni
Aggressive Retsuko (ONA),Tokyo Ghoul,Gokushufudou,5-toubun no Hanayome
Ajin,Munou na Nana,Owari no Seraph,Makai Ouji: Devils and Realist
Akame ga Kill!,Black Cat (TV),Death Note,Koutetsujou no Kabaneri
Akudama Drive,Cowboy Bebop,Kekkai Sensen,Zankyou no Terror
Alice to Zouroku,Kami no Tou,Fairy Tail,Deatte 5-byou de Battle
All Out!!,Ao Ashi,Keijo!!!!!!!!,Saint Seiya
Angel Beats!,Boku dake ga Inai Machi,Makai Ouji: Devils and Realist,Owari no Seraph
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,Kono Subarashii Sekai ni Shukufuku wo!,Natsume Yuujinchou,Servamp
Another,Tonari no Kaibutsu-kun,Shijou Saikyou no Deshi Kenichi,Suki tte Ii na yo.
Ansatsu Kyoushitsu,Highschool of the Dead,Deadman Wonderland,Donten ni Warau
Ao Ashi,Blue Lock,Hanebado!,Tokyo Revengers
Ao Haru Ride,Slam Dunk,Suki tte Ii na yo.,Masamune-kun no Revenge
Ao no Exorcist,Soul Eater,Neon Genesis Evangelion,Bleach
Aoharu x Kikanjuu,High School DxD,Gleipnir,Kono Subarashii Sekai ni Shukufuku wo!
Aoi Sekai no Chuushin de,Buzzer Beater,Mousou Dairinin,Btooom!
Arcana Famiglia,Romeo x Juliet,"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru",K
Ashita no Joe,Baki,Kenpuu Denki Berserk,Taboo Tattoo
Baccano!,Cyberpunk: Edgerunners,Donten ni Warau,Darker than Black: Kuro no Keiyakusha
Bakemonogatari,Kill la Kill,Magic Kaito 1412,Seirei Gensouki
Baki,Ashita no Joe,Deadman Wonderland,Kenpuu Denki Berserk
Bakuman.,Sono Bisque Doll wa Koi wo Suru,Yu☆Gi☆Oh! Duel Monsters,Shouwa Genroku Rakugo Shinjuu
Ballroom e Youkoso,Blue Period,C: The Money of Soul and Possibility Control,Kokoro Connect
Banana Fish,Shakunetsu Kabaddi,Kuroko no Basket,Magic Kaito 1412
Battle Spirits: Burning Soul,Sword Art Online,K,Taboo Tattoo
Beastars,Kuroshitsuji,Shinigami Bocchan to Kuro Maid,Aggressive Retsuko (ONA)
Beyblade Burst,The God of High School,Shaman King,Baki
Bishoujo Senshi Sailor Moon,Kono Subarashii Sekai ni Shukufuku wo!,Aoharu x Kikanjuu,Goblin Slayer
Black Bullet,Kiseijuu: Sei no Kakuritsu,God Eater,Owari no Seraph
Black Cat (TV),Hellsing,Rurouni Kenshin: Meiji Kenkaku Romantan,Blood Lad
Black Clover,Rakudai Kishi no Cavalry,Clockwork Planet,Fate/stay night
Blade,Hellsing,Tensei shitara Ken Deshita,Kyoukai no Kanata
BlazBlue: Alter Memory,Zombieland Saga,Akudama Drive,Highschool of the Dead
Bleach,Fate/stay night,Kill la Kill,Kono Subarashii Sekai ni Shukufuku wo!
Blood Lad,Hellsing,Jujutsu Kaisen,Hataraku Maou-sama!
Blue Lock,Shakunetsu Kabaddi,Seirei Gensouki,Ao Ashi
Blue Period,5-toubun no Hanayome,Tonari no Kaibutsu-kun,Horimiya
Boku dake ga Inai Machi,Detective Conan,Magic Kaito 1412,Golden Kamuy
Boku no Hero Academia,One Punch Man,Mushoku Tensei: Isekai Ittara Honki Dasu,Dr. Stone
Bokutachi no Remake,5-toubun no Hanayome,5-toubun no Hanayome,Kokkoku
Brave 10,Kono Subarashii Sekai ni Shukufuku wo!,Fate/stay night,Zombieland Saga
Btooom!,Kono Subarashii Sekai ni Shukufuku wo!,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,Bokutachi no Remake
Bungou Stray Dogs,Highschool of the Dead,Deadman Wonderland,Naruto
Bus Gamer,Kokkoku,Log Horizon,Re:Zero kara Hajimeru Isekai Seikatsu
Busou Shoujo Machiavellianism,Gleipnir,Shijou Saikyou no Deshi Kenichi,Tomodachi Game
Buzzer Beater,Banana Fish,Cyberpunk: Edgerunners,Log Horizon
C: The Money of Soul and Possibility Control,5-toubun no Hanayome,Tokyo Ghoul,Bokutachi no Remake
Captain Tsubasa,Shakunetsu Kabaddi,Keppeki Danshi! Aoyama-kun,Blue Lock
Cardcaptor Sakura,Code:Breaker,Kono Subarashii Sekai ni Shukufuku wo!,Mahou Sensou
Chainsaw Man,Death Note,Trigun,Gokushufudou
Charlotte,Slam Dunk,Masamune-kun no Revenge,High School DxD
Cike Wu Liuqi,Mob Psycho 100,Ousama Ranking,Hakata Tonkotsu Ramens
Clannad,Suki tte Ii na yo.,Slam Dunk,Tokyo Ghoul
Claymore,Goblin Slayer,Brave 10,Hellsing
Clockwork Planet,Fate/stay night,Magic Kaito 1412,Black Clover
Code Geass: Hangyaku no Lelouch,Cyberpunk: Edgerunners,Tokyo Ghoul,Donten ni Warau
Code:Breaker,Re:Zero kara Hajimeru Isekai Seikatsu,Darwin's Game,Kono Subarashii Sekai ni Shukufuku wo!
Cowboy Bebop,Kekkai Sensen,Vivy: Fluorite Eye's Song,Detective Conan
Cyberpunk: Edgerunners,Kono Subarashii Sekai ni Shukufuku wo!,Re:Zero kara Hajimeru Isekai Seikatsu,High School DxD
D.Gray-man,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",Bleach,Makai Ouji: Devils and Realist
D.Gray-man Hallow,Saihate no Paladin,Mushoku Tensei: Isekai Ittara Honki Dasu,Fate/stay night
Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen,D.Gray-man Hallow,Bleach,JoJo no Kimyou na Bouken Part 6: Stone Ocean
Darker than Black: Kuro no Keiyakusha,Gintama,Blood Lad,Naruto
Darwin's Game,Code:Breaker,Shijou Saikyou no Deshi Kenichi,Tokyo Ghoul
Days (TV),Shakunetsu Kabaddi,Captain Tsubasa,Keppeki Danshi! Aoyama-kun
Deadman Wonderland,Baki,Donten ni Warau,Zankyou no Terror
Death Note,Makai Ouji: Devils and Realist,Chainsaw Man,Akame ga Kill!
Death Parade,God Eater,Bleach,Gantz
Deatte 5-byou de Battle,Kono Subarashii Sekai ni Shukufuku wo!,Iwa Kakeru!: Sport Climbing Girls,Youjo Senki
Detective Conan,Fate/stay night,Boku dake ga Inai Machi,Kill la Kill
Devil May Cry,Mairimashita! Iruma-kun,Gokushufudou,Makai Ouji: Devils and Realist
Digimon Adventure,Persona 4 the Animation,Yakusoku no Neverland,Log Horizon
Dimension W,Darker than Black: Kuro no Keiyakusha,Baccano!,Neon Genesis Evangelion
Divine Gate,Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,Black Clover,Dragon Ball
Donten ni Warau,Ushio to Tora (TV),Deadman Wonderland,Zankyou no Terror
Dr. Stone,Boku no Hero Academia,Great Teacher Onizuka,Fullmetal Alchemist
Dragon Ball,Cardcaptor Sakura,Kono Subarashii Sekai ni Shukufuku wo!,Pokemon XY
DRAMAtical Murder,Great Teacher Onizuka,Gokushufudou,Donten ni Warau
Drifters,Baki,God Eater,Hanma Baki: Son of Ogre
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,Baki,Saihate no Paladin,Sword Art Online
Durarara!!,Log Horizon,Buzzer Beater,Cyberpunk: Edgerunners
Elfen Lied,Gleipnir,JoJo no Kimyou na Bouken Part 6: Stone Ocean,Owari no Seraph
Enen no Shouboutai,Needless,God Eater,Kekkai Sensen
Eyeshield 21,Taboo Tattoo,Code:Breaker,Munou na Nana
Fairy Tail,Alice to Zouroku,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,Goblin Slayer
Fate/stay night,Highschool of the Dead,Ranpo Kitan: Game of Laplace,Detective Conan
Fruits Basket 1st Season,Summertime Render,Natsume Yuujinchou,Zetsuen no Tempest
Fullmetal Alchemist,Ushio to Tora (TV),JoJo no Kimyou na Bouken (TV),Tokyo Revengers
"Fuufu Ijou, Koibito Miman.",Kanojo mo Kanojo,Gekkan Shoujo Nozaki-kun,Masamune-kun no Revenge
Ga-Rei: Zero,Summertime Render,Psycho-Pass,Bleach
Gakusen Toshi Asterisk,Kingdom,Ansatsu Kyoushitsu,Log Horizon
Gangsta.,Owari no Seraph,Hellsing,Lycoris Recoil
Gantz,Koutetsujou no Kabaneri,Kiseijuu: Sei no Kakuritsu,Shingeki no Kyojin
Gekkan Shoujo Nozaki-kun,"Kanojo, Okarishimasu",Masamune-kun no Revenge,Tomodachi Game
Giant Killing,Hanebado!,Kokkoku,Donten ni Warau
Gintama,Donten ni Warau,Neon Genesis Evangelion,Drifters
Gleipnir,Aoharu x Kikanjuu,11eyes,Fate/stay night
Goblin Slayer,Blood Lad,Bishoujo Senshi Sailor Moon,Kono Subarashii Sekai ni Shukufuku wo!
God Eater,Shingeki no Kyojin,Kiseijuu: Sei no Kakuritsu,Hataraku Maou-sama!
Gokushufudou,Chainsaw Man,Makai Ouji: Devils and Realist,Devil May Cry
Golden Kamuy,Seirei Gensouki,Boku dake ga Inai Machi,Chainsaw Man
Golgo 13 (TV),Rakudai Kishi no Cavalry,Hinomaru Zumou,Hai to Gensou no Grimgar
Great Teacher Onizuka,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,Yowamushi Pedal,Nisekoi
Gyakkyou Burai Kaiji: Hakairoku-hen,Bus Gamer,Re:Zero kara Hajimeru Isekai Seikatsu,Mairimashita! Iruma-kun
Hai to Gensou no Grimgar,D.Gray-man,Owari no Seraph,One Punch Man
Haikyuu!!,Hanebado!,Ryman's Club,Keijo!!!!!!!!
Hajime no Ippo,Shijou Saikyou no Deshi Kenichi,Ashita no Joe,Bungou Stray Dogs
Hakata Tonkotsu Ramens,Cike Wu Liuqi,Gangsta.,Rurouni Kenshin: Meiji Kenkaku Romantan
Hamatora The Animation,No Game No Life,Subete ga F ni Naru,Ao no Exorcist
Hanebado!,Ryman's Club,Kokkoku,Cyberpunk: Edgerunners
Hanma Baki: Son of Ogre,Drifters,Kingdom,Chainsaw Man
Harukana Receive,Haikyuu!!,Mahou Sensou,Hajime no Ippo
Hataraku Maou-sama!,God Eater,Shingeki no Kyojin,Ao no Exorcist
Hellsing,God Eater,Bleach,Black Cat (TV)
High School DxD,Kono Subarashii Sekai ni Shukufuku wo!,Slam Dunk,Tokyo Ghoul
Highschool of the Dead,Fate/stay night,Deadman Wonderland,Brave 10
Higurashi no Naku Koro ni,Persona 4 the Animation,Summertime Render,Mahou Sensou
Hinamatsuri (TV),Gleipnir,High School DxD,Hanebado!
Hinomaru Zumou,Rakudai Kishi no Cavalry,Inazuma Eleven,Baki
Horimiya,Tonari no Kaibutsu-kun,Suki tte Ii na yo.,Natsume Yuujinchou
Hunter x Hunter (2011),Kill la Kill,D.Gray-man Hallow,Detective Conan
Id:Invaded,Joker Game,Detective Conan,Musaigen no Phantom World
"Ijiranaide, Nagatoro-san",Gekkan Shoujo Nozaki-kun,Sono Bisque Doll wa Koi wo Suru,Shijou Saikyou no Deshi Kenichi
Inazuma Eleven,Shakunetsu Kabaddi,Captain Tsubasa,Keppeki Danshi! Aoyama-kun
InuYasha,Kumichou Musume to Sewagakari,Jujutsu Kaisen,Blood Lad
Inuyashiki,Mushoku Tensei: Isekai Ittara Honki Dasu,Kumichou Musume to Sewagakari,One Punch Man
Itazura na Kiss,Hanebado!,High School DxD,Tokyo Revengers
Iwa Kakeru!: Sport Climbing Girls,Pokemon XY,Busou Shoujo Machiavellianism,Yowamushi Pedal
Jaku-Chara Tomozaki-kun,Btooom!,Katekyo Hitman Reborn!,Mairimashita! Iruma-kun
JoJo no Kimyou na Bouken (TV),Seirei Gensouki,Fullmetal Alchemist,91 Days
JoJo no Kimyou na Bouken Part 6: Stone Ocean,Akudama Drive,Lycoris Recoil,Fate/stay night
Joker Game,Detective Conan,Cowboy Bebop,Akudama Drive
Jormungand,Mairimashita! Iruma-kun,Kumichou Musume to Sewagakari,Spy x Family
Jujutsu Kaisen,Overlord,Kuroshitsuji,Makai Ouji: Devils and Realist
K,Kill la Kill,Detective Conan,Jujutsu Kaisen
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Great Teacher Onizuka,Gekkan Shoujo Nozaki-kun,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e
Kakegurui,"Komi-san wa, Comyushou desu.",Tomodachi Game,Toradora!
Kami no Tou,Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,Shiguang Dailiren,Boku no Hero Academia
Kanojo mo Kanojo,"Kanojo, Okarishimasu",Zetsuen no Tempest,Senpai ga Uzai Kouhai no Hanashi
"Kanojo, Okarishimasu",Zetsuen no Tempest,Kanojo mo Kanojo,Gekkan Shoujo Nozaki-kun
Katanagatari,Wizard Barristers: Benmashi Cecil,Kill la Kill,Summertime Render
Katekyo Hitman Reborn!,Masamune-kun no Revenge,Jaku-Chara Tomozaki-kun,Slam Dunk
Keijo!!!!!!!!,Kuroko no Basket,Haikyuu!!,Shaman King
Kekkai Sensen,Cowboy Bebop,Blood Lad,Black Bullet
Kemono Jihen,InuYasha,Devil May Cry,Persona 4 the Animation
Kengan Ashura,Gangsta.,Joker Game,K
Kenpuu Denki Berserk,Baki,Ashita no Joe,Youjo Senki
Keppeki Danshi! Aoyama-kun,Captain Tsubasa,Blue Lock,Days (TV)
Kill la Kill,Kyoukai no Kanata,JoJo no Kimyou na Bouken Part 6: Stone Ocean,K
Kimetsu no Yaiba,Bleach,Gyakkyou Burai Kaiji: Hakairoku-hen,Yakusoku no Neverland
Kingdom,Ranma ½,Donten ni Warau,Gakusen Toshi Asterisk
Kiseijuu: Sei no Kakuritsu,Koutetsujou no Kabaneri,Black Bullet,Vivy: Fluorite Eye's Song
Kiznaiver,Munou na Nana,Slam Dunk,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai
Kobayashi-san Chi no Maid Dragon,Darwin's Game,Kono Subarashii Sekai ni Shukufuku wo!,Tokyo Ghoul
Kokkoku,Slam Dunk,Hanebado!,Masamune-kun no Revenge
Kokoro Connect,Shakunetsu Kabaddi,Log Horizon,Munou na Nana
"Komi-san wa, Comyushou desu.",Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,Great Teacher Onizuka,Charlotte
Kono Subarashii Sekai ni Shukufuku wo!,Zombieland Saga,Seirei Gensouki,Tokyo Ghoul
Koutetsujou no Kabaneri,God Eater,Kiseijuu: Sei no Kakuritsu,Black Bullet
Kumichou Musume to Sewagakari,Mushoku Tensei: Isekai Ittara Honki Dasu,Jaku-Chara Tomozaki-kun,InuYasha
Kuroko no Basket,Banana Fish,Keijo!!!!!!!!,Slam Dunk
Kuroshitsuji,Jujutsu Kaisen,Kumichou Musume to Sewagakari,Devil May Cry
Kyoukai no Kanata,Bleach,Tensei shitara Ken Deshita,Hellsing
Log Horizon,Jaku-Chara Tomozaki-kun,Sword Art Online,Buzzer Beater
Lycoris Recoil,Aoharu x Kikanjuu,Kill la Kill,Princess Principal
Made in Abyss,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,Lycoris Recoil,Blood Lad
Magi: The Kingdom of Magic,Overlord,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",Kono Subarashii Sekai ni Shukufuku wo!
Magic Kaito 1412,Boku dake ga Inai Machi,Fullmetal Alchemist,Seirei Gensouki
Mahou Sensou,Kono Subarashii Sekai ni Shukufuku wo!,Gleipnir,Aoharu x Kikanjuu
Mahouka Koukou no Rettousei,Cardcaptor Sakura,Divine Gate,Iwa Kakeru!: Sport Climbing Girls
Mairimashita! Iruma-kun,Kokkoku,5-toubun no Hanayome,5-toubun no Hanayome
Major 2nd,Shouwa Genroku Rakugo Shinjuu,Bakuman.,Seirei Gensouki
Makai Ouji: Devils and Realist,Chainsaw Man,Overlord,Clockwork Planet
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",God Eater,Rurouni Kenshin: Meiji Kenkaku Romantan,Bleach
Masamune-kun no Revenge,High School DxD,Katekyo Hitman Reborn!,Ao Haru Ride
Mayoiga,Kimetsu no Yaiba,Angel Beats!,Persona 4 the Animation
Megalo Box,Mousou Dairinin,Neon Genesis Evangelion,Death Note
Mieruko-chan,Bishoujo Senshi Sailor Moon,Gleipnir,Tokyo Ghoul
Mini Dragon,Wizard Barristers: Benmashi Cecil,Log Horizon,Aoi Sekai no Chuushin de
Mirai Nikki (TV),Another,Shijou Saikyou no Deshi Kenichi,Tomodachi Game
Mob Psycho 100,Makai Ouji: Devils and Realist,Mushoku Tensei: Isekai Ittara Honki Dasu,Cike Wu Liuqi
Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,Boku no Hero Academia,Cardcaptor Sakura,Mahou Sensou
Monster,Cyberpunk: Edgerunners,Kono Subarashii Sekai ni Shukufuku wo!,Seirei Gensouki
Mousou Dairinin,Blood Lad,Black Cat (TV),Death Note
Munou na Nana,Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,Bleach,Gleipnir
Musaigen no Phantom World,Blood Lad,Black Bullet,K
Mushishi,Saiki Kusuo no Ψ-nan,Hamatora The Animation,Boku no Hero Academia
Mushoku Tensei: Isekai Ittara Honki Dasu,Kumichou Musume to Sewagakari,Youjo Senki,Makai Ouji: Devils and Realist
Naruto,Hataraku Maou-sama!,Kiseijuu: Sei no Kakuritsu,Fate/stay night
Natsume Yuujinchou,Fruits Basket 1st Season,Horimiya,Shinigami Bocchan to Kuro Maid
