Anime,1st recomm,2nd recomm,3rd recomm
11eyes,Naruto,Gantz,Akame ga Kill!
3-gatsu no Lion,DRAMAtical Murder,Nisekoi,Bakuman.
5-toubun no Hanayome,Blue Period,Charlotte,Tonari no Kaibutsu-kun
86,Needless,God Eater,Saiyuuki Reload Blast
91 Days,Suki tte Ii na yo.,Devil May Cry,Re:Zero kara Hajimeru Isekai Seikatsu
ACCA: 13-ku Kansatsu-ka,Magi: The Kingdom of Magic,Vinland Saga,Higurashi no Naku Koro ni
Aggressive Retsuko (ONA),Rakudai Kishi no Cavalry,Beastars,Gintama
Ajin,Owari no Seraph,Munou na Nana,D.Gray-man Hallow
Akame ga Kill!,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",Cike Wu Liuqi,Hataraku Maou-sama!
Akudama Drive,Durarara!!,Cowboy Bebop,World Trigger
Alice to Zouroku,Mahou Sensou,Aoharu x Kikanjuu,Kobayashi-san Chi no Maid Dragon
All Out!!,Kyoukai no Kanata,Keijo!!!!!!!!,Saint Seiya
Angel Beats!,Boku dake ga Inai Machi,Violet Evergarden,Mushoku Tensei: Isekai Ittara Honki Dasu
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,Mirai Nikki (TV),Kiznaiver,Horimiya
Another,Ansatsu Kyoushitsu,High School DxD,Orange
Ansatsu Kyoushitsu,Ranpo Kitan: Game of Laplace,5-toubun no Hanayome,Subete ga F ni Naru
Ao Ashi,Deadman Wonderland,Blue Lock,Shakunetsu Kabaddi
Ao Haru Ride,Aoharu x Kikanjuu,Katekyo Hitman Reborn!,Alice to Zouroku
Ao no Exorcist,Death Parade,Neon Genesis Evangelion,Yasuke
Aoharu x Kikanjuu,Katekyo Hitman Reborn!,Tokyo Ghoul,Jaku-Chara Tomozaki-kun
Aoi Sekai no Chuushin de,Zankyou no Terror,Mousou Dairinin,Death Note
Arcana Famiglia,Gangsta.,Musaigen no Phantom World,Hellsing
Ashita no Joe,Re:Zero kara Hajimeru Isekai Seikatsu,Baki,Taboo Tattoo
Baccano!,Golden Kamuy,Darker than Black: Kuro no Keiyakusha,Kono Subarashii Sekai ni Shukufuku wo!
Bakemonogatari,Mahouka Koukou no Rettousei,Fate/stay night,"Fuufu Ijou, Koibito Miman."
Baki,Shaman King,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",Ashita no Joe
Bakuman.,"Ijiranaide, Nagatoro-san","Komi-san wa, Comyushou desu.",Major 2nd
Ballroom e Youkoso,"Komi-san wa, Comyushou desu.",Ousama Ranking,Katekyo Hitman Reborn!
Banana Fish,Rainbow: Nisha Rokubou no Shichinin,Gokushufudou,Chainsaw Man
Battle Spirits: Burning Soul,Sword Art Online,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",Shaman King
Beastars,Yasuke,Jujutsu Kaisen,Odd Taxi
Beyblade Burst,Jaku-Chara Tomozaki-kun,3-gatsu no Lion,Yowamushi Pedal
Bishoujo Senshi Sailor Moon,Overlord,High School DxD,Kono Subarashii Sekai ni Shukufuku wo!
Black Bullet,Owari no Seraph,God Eater,Hataraku Maou-sama!
Black Cat (TV),Cike Wu Liuqi,Youjo Senki,"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru"
Black Clover,Bakuman.,JoJo no Kimyou na Bouken (TV),Fullmetal Alchemist
Blade,Fate/stay night,Claymore,Saihate no Paladin
BlazBlue: Alter Memory,Romeo x Juliet,Orange,Digimon Adventure
Bleach,Fate/stay night,Ranpo Kitan: Game of Laplace,Persona 4 the Animation
Blood Lad,Hellsing,Death Note,Naruto
Blue Lock,Inazuma Eleven,Days (TV),Giant Killing
Blue Period,5-toubun no Hanayome,"Komi-san wa, Comyushou desu.",Tokyo Revengers
Boku dake ga Inai Machi,Highschool of the Dead,Persona 4 the Animation,Angel Beats!
Boku no Hero Academia,Gakusen Toshi Asterisk,Sword Art Online,Pokemon XY
Bokutachi no Remake,91 Days,Makai Ouji: Devils and Realist,5-toubun no Hanayome
Brave 10,Zombieland Saga,InuYasha,Lycoris Recoil
Btooom!,Clannad,Katekyo Hitman Reborn!,Suki tte Ii na yo.
Bungou Stray Dogs,Itazura na Kiss,Re-Main,Mushoku Tensei: Isekai Ittara Honki Dasu
Bus Gamer,Magi: The Kingdom of Magic,Noragami,D.Gray-man Hallow
Busou Shoujo Machiavellianism,Nisekoi,Monster,Dr. Stone
Buzzer Beater,Major 2nd,Kuroko no Basket,Haikyuu!!
C: The Money of Soul and Possibility Control,Ballroom e Youkoso,Ousama Ranking,Neon Genesis Evangelion
Captain Tsubasa,Inazuma Eleven,Shakunetsu Kabaddi,Keppeki Danshi! Aoyama-kun
Cardcaptor Sakura,Nisekoi,High School DxD,Gekkan Shoujo Nozaki-kun
Chainsaw Man,Gokushufudou,Magic Kaito 1412,Banana Fish
Charlotte,5-toubun no Hanayome,Slam Dunk,Blue Period
Cike Wu Liuqi,Black Cat (TV),Koutetsujou no Kabaneri,Akame ga Kill!
Clannad,Katekyo Hitman Reborn!,Suki tte Ii na yo.,Btooom!
Claymore,Hellsing,Ao no Exorcist,Saihate no Paladin
Clockwork Planet,Chainsaw Man,Natsume Yuujinchou,Gakusen Toshi Asterisk
Code Geass: Hangyaku no Lelouch,Gintama,Donten ni Warau,Psycho-Pass
Code:Breaker,Hakata Tonkotsu Ramens,Hinamatsuri (TV),Mieruko-chan
Cowboy Bebop,Black Cat (TV),World Trigger,God Eater
Cyberpunk: Edgerunners,Brave 10,Kono Subarashii Sekai ni Shukufuku wo!,Seirei Gensouki
D.Gray-man,Made in Abyss,Hunter x Hunter (2011),"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou"
D.Gray-man Hallow,Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen,Naruto,Hataraku Maou-sama!
Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen,Wonder Egg Priority,Shouwa Genroku Rakugo Shinjuu,Bleach
Darker than Black: Kuro no Keiyakusha,Needless,Yasuke,Gintama
Darwin's Game,Rainbow: Nisha Rokubou no Shichinin,Shijou Saikyou no Deshi Kenichi,Fate/stay night
Days (TV),Blue Lock,Inazuma Eleven,Shakunetsu Kabaddi
Deadman Wonderland,Bleach,Fate/stay night,Baki
Death Note,Highschool of the Dead,Blood Lad,Donten ni Warau
Death Parade,Ao no Exorcist,Fate/stay night,God Eater
Deatte 5-byou de Battle,High School DxD,Iwa Kakeru!: Sport Climbing Girls,Mahou Sensou
Detective Conan,Persona 4 the Animation,Ranpo Kitan: Game of Laplace,Mob Psycho 100
Devil May Cry,JoJo no Kimyou na Bouken (TV),Black Clover,Summertime Render
Digimon Adventure,BlazBlue: Alter Memory,Cardcaptor Sakura,Angel Beats!
Dimension W,Mahouka Koukou no Rettousei,Divine Gate,Sword Art Online
Divine Gate,Fairy Tail,Sword Art Online,Dimension W
Donten ni Warau,Highschool of the Dead,Death Note,Zankyou no Terror
Dr. Stone,Charlotte,Rainbow: Nisha Rokubou no Shichinin,Fullmetal Alchemist
Dragon Ball,High School DxD,Nisekoi,Servamp
DRAMAtical Murder,3-gatsu no Lion,Tate no Yuusha no Nariagari,Golden Kamuy
Drifters,Gintama,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",God Eater
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,Hinamatsuri (TV),Saint Seiya
Durarara!!,Tokyo Ghoul,Blood Lad,Cowboy Bebop
Elfen Lied,Beastars,Kiseijuu: Sei no Kakuritsu,Munou na Nana
Enen no Shouboutai,World Trigger,Shingeki no Kyojin,Vivy: Fluorite Eye's Song
Eyeshield 21,Blue Period,Ballroom e Youkoso,5-toubun no Hanayome
Fairy Tail,Rokka no Yuusha,K,Divine Gate
Fate/stay night,Highschool of the Dead,Kill la Kill,Boku dake ga Inai Machi
Fruits Basket 1st Season,Kanojo mo Kanojo,Alice to Zouroku,Mieruko-chan
Fullmetal Alchemist,Magic Kaito 1412,Makai Ouji: Devils and Realist,Tokyo Revengers
"Fuufu Ijou, Koibito Miman.",Tomodachi Game,Nisekoi,High School DxD
Ga-Rei: Zero,Psycho-Pass,Kemono Jihen,Highschool of the Dead
Gakusen Toshi Asterisk,Vivy: Fluorite Eye's Song,World Trigger,D.Gray-man Hallow
Gangsta.,K,Kengan Ashura,Kenpuu Denki Berserk
Gantz,Neon Genesis Evangelion,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",D.Gray-man
Gekkan Shoujo Nozaki-kun,Deatte 5-byou de Battle,Masamune-kun no Revenge,Toradora!
Giant Killing,Blue Lock,Slam Dunk,Neon Genesis Evangelion
Gintama,Yasuke,Shouwa Genroku Rakugo Shinjuu,Code Geass: Hangyaku no Lelouch
Gleipnir,Bleach,Slam Dunk,Sakura-sou no Pet na Kanojo
Goblin Slayer,Kumichou Musume to Sewagakari,Blood Lad,Hellsing
God Eater,Vivy: Fluorite Eye's Song,Saiyuuki Reload Blast,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou"
Gokushufudou,Magic Kaito 1412,Chainsaw Man,Re:Zero kara Hajimeru Isekai Seikatsu
Golden Kamuy,Summertime Render,Zombieland Saga,Kill la Kill
Golgo 13 (TV),Kami no Tou,Darker than Black: Kuro no Keiyakusha,No Game No Life
Great Teacher Onizuka,"Kanojo, Okarishimasu",3-gatsu no Lion,Golden Kamuy
Gyakkyou Burai Kaiji: Hakairoku-hen,D.Gray-man Hallow,Chainsaw Man,Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen
Hai to Gensou no Grimgar,Hunter x Hunter (2011),One Punch Man,Jormungand
Haikyuu!!,Keijo!!!!!!!!,Kuroko no Basket,Ryman's Club
Hajime no Ippo,Summertime Render,Odd Taxi,Vinland Saga
Hakata Tonkotsu Ramens,Ga-Rei: Zero,Seikaisuru Kado,Akudama Drive
Hamatora The Animation,Mushishi,Kami no Tou,Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?
Hanebado!,Ranma ½,Kono Subarashii Sekai ni Shukufuku wo!,Brave 10
Hanma Baki: Son of Ogre,Shingeki no Kyojin,Gokushufudou,Drifters
Harukana Receive,Keijo!!!!!!!!,Deatte 5-byou de Battle,Hajime no Ippo
Hataraku Maou-sama!,Naruto,Koutetsujou no Kabaneri,Shingeki no Kyojin
Hellsing,Blood Lad,Fate/stay night,Claymore
High School DxD,Katekyo Hitman Reborn!,Deatte 5-byou de Battle,Ao Haru Ride
Highschool of the Dead,Zankyou no Terror,Lycoris Recoil,Brave 10
Higurashi no Naku Koro ni,Horimiya,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,Yowamushi Pedal
Hinamatsuri (TV),Kobayashi-san Chi no Maid Dragon,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,Code:Breaker
Hinomaru Zumou,Baki,Inazuma Eleven,Keijo!!!!!!!!
Horimiya,Natsume Yuujinchou,Katekyo Hitman Reborn!,Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru
Hunter x Hunter (2011),"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",Bleach,Kill la Kill
Id:Invaded,Joker Game,Sword Art Online,Hakata Tonkotsu Ramens
"Ijiranaide, Nagatoro-san",Bakuman.,Mahouka Koukou no Rettousei,Shijou Saikyou no Deshi Kenichi
Inazuma Eleven,Blue Lock,Captain Tsubasa,Days (TV)
InuYasha,Romeo x Juliet,Brave 10,Blade
Inuyashiki,Makai Ouji: Devils and Realist,Mairimashita! Iruma-kun,91 Days
Itazura na Kiss,Bungou Stray Dogs,Slam Dunk,Sakura-sou no Pet na Kanojo
Iwa Kakeru!: Sport Climbing Girls,Shijou Saikyou no Deshi Kenichi,Deadman Wonderland,High School DxD
Jaku-Chara Tomozaki-kun,Tokyo Revengers,Great Teacher Onizuka,Beyblade Burst
JoJo no Kimyou na Bouken (TV),Fullmetal Alchemist,Kimetsu no Yaiba,Black Clover
JoJo no Kimyou na Bouken Part 6: Stone Ocean,Banana Fish,Spy x Family,Akame ga Kill!
Joker Game,Id:Invaded,World Trigger,Psycho-Pass
Jormungand,Spy x Family,Cike Wu Liuqi,Neon Genesis Evangelion
Jujutsu Kaisen,Overlord,Fate/stay night,K
K,Rokka no Yuusha,Kumichou Musume to Sewagakari,Blood Lad
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,3-gatsu no Lion,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,DRAMAtical Murder
Kakegurui,Charlotte,Ansatsu Kyoushitsu,Shijou Saikyou no Deshi Kenichi
Kami no Tou,Tengen Toppa Gurren Lagann,Hai to Gensou no Grimgar,Horimiya
Kanojo mo Kanojo,Dr. Stone,Monster,Higurashi no Naku Koro ni
"Kanojo, Okarishimasu",Great Teacher Onizuka,High School DxD,Seirei Gensouki
Katanagatari,Yasuke,Beyblade Burst,Gintama
Katekyo Hitman Reborn!,High School DxD,Tonari no Kaibutsu-kun,Ballroom e Youkoso
Keijo!!!!!!!!,Haikyuu!!,Pokemon XY,Prince of Stride: Alternative
Kekkai Sensen,World Trigger,Naruto,Cowboy Bebop
Kemono Jihen,Ga-Rei: Zero,Lycoris Recoil,Fate/stay night
Kengan Ashura,Gangsta.,Arcana Famiglia,Shaman King
Kenpuu Denki Berserk,Saint Seiya,Taboo Tattoo,Baki
Keppeki Danshi! Aoyama-kun,Days (TV),Inazuma Eleven,Ping Pong the Animation
Kill la Kill,Persona 4 the Animation,Fate/stay night,Ranpo Kitan: Game of Laplace
Kimetsu no Yaiba,Devil May Cry,91 Days,Makai Ouji: Devils and Realist
Kingdom,God Eater,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",Munou na Nana
Kiseijuu: Sei no Kakuritsu,Naruto,Koutetsujou no Kabaneri,Hataraku Maou-sama!
Kiznaiver,Ballroom e Youkoso,Ousama Ranking,Horimiya
Kobayashi-san Chi no Maid Dragon,Iwa Kakeru!: Sport Climbing Girls,Deatte 5-byou de Battle,Mahou Sensou
Kokkoku,Summertime Render,Suki tte Ii na yo.,91 Days
Kokoro Connect,Charlotte,Shijou Saikyou no Deshi Kenichi,Rainbow: Nisha Rokubou no Shichinin
"Komi-san wa, Comyushou desu.",Ballroom e Youkoso,Shijou Saikyou no Deshi Kenichi,5-toubun no Hanayome
Kono Subarashii Sekai ni Shukufuku wo!,Mieruko-chan,Fate/stay night,Cyberpunk: Edgerunners
Koutetsujou no Kabaneri,Owari no Seraph,Vivy: Fluorite Eye's Song,Black Bullet
Kumichou Musume to Sewagakari,Gokushufudou,One Piece,Blood Lad
Kuroko no Basket,Buzzer Beater,One Punch Man,Kekkai Sensen
Kuroshitsuji,K,Kill la Kill,Kenpuu Denki Berserk
Kyoukai no Kanata,Soul Eater,Hunter x Hunter (2011),Fate/stay night
Log Horizon,Jaku-Chara Tomozaki-kun,Neon Genesis Evangelion,Zankyou no Terror
Lycoris Recoil,Highschool of the Dead,Zankyou no Terror,Death Note
Made in Abyss,Hunter x Hunter (2011),Kami no Tou,Elfen Lied
Magi: The Kingdom of Magic,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",Romeo x Juliet,Drifters
Magic Kaito 1412,Gokushufudou,Fullmetal Alchemist,Chainsaw Man
Mahou Sensou,Wotaku ni Koi wa Muzukashii,Wonder Egg Priority,Kobayashi-san Chi no Maid Dragon
Mahouka Koukou no Rettousei,Saihate no Paladin,Jujutsu Kaisen,Overlord
Mairimashita! Iruma-kun,Yuu☆Yuu☆Hakusho,Fullmetal Alchemist,Nisekoi
Major 2nd,Buzzer Beater,Rainbow: Nisha Rokubou no Shichinin,Devil May Cry
Makai Ouji: Devils and Realist,Fullmetal Alchemist,Chainsaw Man,Bokutachi no Remake
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",God Eater,Akame ga Kill!,Shingeki no Kyojin
Masamune-kun no Revenge,High School DxD,Slam Dunk,Mairimashita! Iruma-kun
Mayoiga,Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,Akudama Drive,Odd Taxi
Megalo Box,Re:Zero kara Hajimeru Isekai Seikatsu,Hinomaru Zumou,Gokushufudou
Mieruko-chan,Kono Subarashii Sekai ni Shukufuku wo!,Gleipnir,High School DxD
Mini Dragon,Star Wars: Visions,Blade,Pokemon XY
Mirai Nikki (TV),Yu☆Gi☆Oh! Duel Monsters,Blue Period,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.
Mob Psycho 100,Jujutsu Kaisen,Phi Brain: Kami no Puzzle,Magic Kaito 1412
Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,Deatte 5-byou de Battle,Elfen Lied
Monster,Kanojo mo Kanojo,Kobayashi-san Chi no Maid Dragon,Summertime Render
Mousou Dairinin,Death Note,Hataraku Maou-sama!,Black Cat (TV)
Munou na Nana,Naruto,Shingeki no Kyojin,God Eater
Musaigen no Phantom World,Owari no Seraph,Munou na Nana,World Trigger
Mushishi,Hamatora The Animation,No Game No Life,Kami no Tou
Mushoku Tensei: Isekai Ittara Honki Dasu,Angel Beats!,Bokutachi no Remake,Bungou Stray Dogs
Naruto,World Trigger,Munou na Nana,Highschool of the Dead
Natsume Yuujinchou,Kiznaiver,Ousama Ranking,Suki tte Ii na yo.
Needless,Zankyou no Terror,Qualidea Code,Donten ni Warau
Neon Genesis Evangelion,Zankyou no Terror,Shingeki no Kyojin,Donten ni Warau
Nisekoi,Cardcaptor Sakura,High School DxD,Mairimashita! Iruma-kun
No Game No Life,Elfen Lied,Rakudai Kishi no Cavalry,Kami no Tou
Noragami,Bus Gamer,Black Clover,Rokka no Yuusha
Odd Taxi,Chainsaw Man,Gintama,Aggressive Retsuko (ONA)
One Piece,Kumichou Musume to Sewagakari,Naruto,K
One Punch Man,D.Gray-man,Kenpuu Denki Berserk,Gokushufudou
Orange,Another,High School DxD,Digimon Adventure
Ousama Ranking,Natsume Yuujinchou,Kiznaiver,Ballroom e Youkoso
Overlord,Saihate no Paladin,Bishoujo Senshi Sailor Moon,Fate/stay night
Owari no Seraph,Black Bullet,Shingeki no Kyojin,Highschool of the Dead
Paripi Koumei,Drifters,One Piece,Gokushufudou
Persona 4 the Animation,Bleach,Boku dake ga Inai Machi,Kemono Jihen
Phi Brain: Kami no Puzzle,Shijou Saikyou no Deshi Kenichi,Gleipnir,Bleach
Ping Pong the Animation,Tokyo Revengers,Yowamushi Pedal,Kuroko no Basket
Pokemon XY,Iwa Kakeru!: Sport Climbing Girls,Tensei shitara Ken Deshita,Deatte 5-byou de Battle
Prince of Stride: Alternative,The God of High School,Pokemon XY,Keijo!!!!!!!!
Princess Principal,86,Gintama,Darker than Black: Kuro no Keiyakusha
Psycho-Pass,Code Geass: Hangyaku no Lelouch,Shouwa Genroku Rakugo Shinjuu,Lycoris Recoil
Qualidea Code,Zankyou no Terror,Princess Principal,Gintama
Rainbow: Nisha Rokubou no Shichinin,Shouwa Genroku Rakugo Shinjuu,Deadman Wonderland,Darwin's Game
Rakudai Kishi no Cavalry,Yasuke,Gleipnir,Bleach
Ranma ½,Hanebado!,Fullmetal Alchemist,Sakura-sou no Pet na Kanojo
Ranpo Kitan: Game of Laplace,Sakura-sou no Pet na Kanojo,Gleipnir,Kill la Kill
Re-Main,Bungou Stray Dogs,Seirei Gensouki,Hanebado!
Re:Zero kara Hajimeru Isekai Seikatsu,Gokushufudou,Jormungand,Ashita no Joe
Rikei ga Koi ni Ochita no de Shoumei shitemita.,Mushishi,Saiki Kusuo no Ψ-nan,Kami no Tou
Rokka no Yuusha,Naruto,Saihate no Paladin,Kuroshitsuji
Romeo x Juliet,Shuumatsu no Walküre,Naruto,InuYasha
Rurouni Kenshin: Meiji Kenkaku Romantan,Golden Kamuy,Magic Kaito 1412,Soul Eater
Ryman's Club,Haikyuu!!,Yasuke,Aoi Sekai no Chuushin de
Saihate no Paladin,Tensei shitara Ken Deshita,Jujutsu Kaisen,Claymore
Saiki Kusuo no Ψ-nan,Kami no Tou,Rikei ga Koi ni Ochita no de Shoumei shitemita.,Rakudai Kishi no Cavalry
Saint Seiya,Taboo Tattoo,One Punch Man,K
Saiyuuki Reload Blast,Kingdom,Violet Evergarden,Munou na Nana
Sakura-sou no Pet na Kanojo,Gleipnir,Slam Dunk,Highschool of the Dead
Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru,"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru",Saihate no Paladin,Fate/stay night
Seikaisuru Kado,Hakata Tonkotsu Ramens,DRAMAtical Murder,Odd Taxi
Seirei Gensouki,Boku dake ga Inai Machi,"Kanojo, Okarishimasu",Cyberpunk: Edgerunners
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,Natsume Yuujinchou,Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,Elfen Lied
"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru",Black Cat (TV),Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru,Kill la Kill
Senpai ga Uzai Kouhai no Hanashi,Ao Haru Ride,Zetsuen no Tempest,Mairimashita! Iruma-kun
Servamp,Ballroom e Youkoso,Bishoujo Senshi Sailor Moon,Yuu☆Yuu☆Hakusho
Shakunetsu Kabaddi,Blue Lock,Captain Tsubasa,Days (TV)
Shaman King,The God of High School,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",Rainbow: Nisha Rokubou no Shichinin
Shigatsu wa Kimi no Uso,Ryman's Club,Bishoujo Senshi Sailor Moon,Hinamatsuri (TV)
Shiguang Dailiren,Sword Art Online,Rikei ga Koi ni Ochita no de Shoumei shitemita.,Noragami
Shijou Saikyou no Deshi Kenichi,"Komi-san wa, Comyushou desu.",Blue Period,Yowamushi Pedal
Shingeki no Kyojin,God Eater,Vivy: Fluorite Eye's Song,Hataraku Maou-sama!
Shinigami Bocchan to Kuro Maid,Natsume Yuujinchou,Suki tte Ii na yo.,Chainsaw Man
Shokugeki no Souma,Vinland Saga,Kenpuu Denki Berserk,Hajime no Ippo
Shouwa Genroku Rakugo Shinjuu,Rainbow: Nisha Rokubou no Shichinin,Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen,Deadman Wonderland
Shuumatsu no Walküre,Neon Genesis Evangelion,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",Hataraku Maou-sama!
SK∞,Ranma ½,Baki,Highschool of the Dead
Slam Dunk,Gleipnir,Highschool of the Dead,Giant Killing
Sono Bisque Doll wa Koi wo Suru,Bakuman.,Shigatsu wa Kimi no Uso,Nisekoi
Soul Eater,Highschool of the Dead,Fate/stay night,Death Note
Spy x Family,Akame ga Kill!,Jormungand,Mousou Dairinin
