ID,Title,Genre,Score,SinopsisPalabra,Sinopsis,Type
6682,11eyes,"Action, Ecchi, SuperPower, Supernatural,",7,"When. the. sky. turns. red. the. moon. turns. black. and. monsters. begin. roaming. the. streets. Satsuki. Kakeru. is. at. a. loss. for. what. to. do. Along. with. his. best. friend. Yuka. they. try. to. decipher. why. they. have. been. sent. to. this. strange. world. which. is. seemingly. empty. aside. from. themselves. However. when. the. ""Red. Night"". ends. Kakeru. and. Yuka. believe. it. was. all. a. dream. until. it. happens. again. and. they. are. left. in. a. dangerous. situation. They. meet. four. others. in. the. same. predicament:. Kusakabe. Misuzu. an. expert. swordswoman;. Tachibana. Kukuri. a. strange. mute. girl. who. looks. uncannily. like. Kakeru's. deceased. sister;. Hirohara. Yukiko. a. lively. young. girl. whose. personality. reverts. to. that. of. a. cold. killer. when. her. glasses. are. removed;. and. Tajima. Takahisa. a. young. pyrokineticist. As. the. six. of. them. band. together. to. survive. and. discover. what. this. mysterious. world. is. things. take. a. turn. for. the. worse. as. six. shadows. appear. before. them. .","When the sky turns red, the moon turns black, and monsters begin roaming the streets, Satsuki Kakeru is at a loss for what to do. Along with his best friend Yuka, they try to decipher why they have been sent to this strange world, which is seemingly empty aside from themselves. However, when the ""Red Night"" ends, Kakeru and Yuka believe it was all a dream—until it happens again, and they are left in a dangerous situation. They meet four others in the same predicament: Kusakabe Misuzu, an expert swordswoman; Tachibana Kukuri, a strange mute girl who looks uncannily like Kakeru's deceased sister; Hirohara Yukiko, a lively young girl whose personality reverts to that of a cold killer when her glasses are removed; and Tajima Takahisa, a young pyrokineticist. As the six of them band together to survive and discover what this mysterious world is, things take a turn for the worse as six shadows appear before them...",tv
31646,3-gatsu no Lion,"Childcare, Drama, Iyashikei, Seinen, SliceofLife, StrategyGame,",7,Having. reached. professional. status. in. middle. school. Rei. Kiriyama. is. one. of. the. few. elite. in. the. world. of. shogi. Due. to. this. he. faces. an. enormous. amount. of. pressure. both. from. the. shogi. community. and. his. adoptive. family. Seeking. independence. from. his. tense. home. life. he. moves. into. an. apartment. in. Tokyo. As. a. 17-year-old. living. on. his. own. Rei. tends. to. take. poor. care. of. himself. and. his. reclusive. personality. ostracizes. him. from. his. peers. in. school. and. at. the. shogi. hall. However. not. long. after. his. arrival. in. Tokyo. Rei. meets. Akari. Hinata. and. Momo. Kawamoto. a. trio. of. sisters. living. with. their. grandfather. who. owns. a. traditional. wagashi. shop. Akari. the. oldest. of. the. three. girls. is. determined. to. combat. Rei's. loneliness. and. poorly. sustained. lifestyle. with. motherly. hospitality. The. Kawamoto. sisters. coping. with. past. tragedies. also. share. with. Rei. a. unique. familial. bond. that. he. has. lacked. for. most. of. his. life. As. he. struggles. to. maintain. himself. physically. and. mentally. through. his. shogi. career. Rei. must. learn. how. to. interact. with. others. and. understand. his. own. complex. emotions.,"Having reached professional status in middle school, Rei Kiriyama is one of the few elite in the world of shogi. Due to this, he faces an enormous amount of pressure, both from the shogi community and his adoptive family. Seeking independence from his tense home life, he moves into an apartment in Tokyo. As a 17-year-old living on his own, Rei tends to take poor care of himself, and his reclusive personality ostracizes him from his peers in school and at the shogi hall. However, not long after his arrival in Tokyo, Rei meets Akari, Hinata, and Momo Kawamoto, a trio of sisters living with their grandfather who owns a traditional wagashi shop. Akari, the oldest of the three girls, is determined to combat Rei's loneliness and poorly sustained lifestyle with motherly hospitality. The Kawamoto sisters, coping with past tragedies, also share with Rei a unique familial bond that he has lacked for most of his life. As he struggles to maintain himself physically and mentally through his shogi career, Rei must learn how to interact with others and understand his own complex emotions.",tv
35180,3-gatsu no Lion 2nd Season,"Childcare, Drama, Iyashikei, Seinen, StrategyGame,",8,Now. in. his. second. year. of. high. school. Rei. Kiriyama. continues. pushing. through. his. struggles. in. the. professional. shogi. world. as. well. as. his. personal. life. Surrounded. by. vibrant. personalities. at. the. shogi. hall. the. school. club. and. in. the. local. community. his. solitary. shell. slowly. begins. to. crack. Among. them. are. the. three. Kawamoto. sisters. Akari. Hinata. and. Momo. who. forge. an. affectionate. and. familial. bond. with. Rei. Through. these. ties. he. realizes. that. everyone. is. burdened. by. their. own. emotional. hardships. and. begins. learning. how. to. rely. on. others. while. supporting. them. in. return. Nonetheless. the. life. of. a. professional. is. not. easy. Between. tournaments. championships. and. title. matches. the. pressure. mounts. as. Rei. advances. through. the. ranks. and. encounters. incredibly. skilled. opponents. As. he. manages. his. relationships. with. those. who. have. grown. close. to. him. the. shogi. player. continues. to. search. for. the. reason. he. plays. the. game. that. defines. his. career.,"Now in his second year of high school, Rei Kiriyama continues pushing through his struggles in the professional shogi world as well as his personal life. Surrounded by vibrant personalities at the shogi hall, the school club, and in the local community, his solitary shell slowly begins to crack. Among them are the three Kawamoto sisters—Akari, Hinata, and Momo—who forge an affectionate and familial bond with Rei. Through these ties, he realizes that everyone is burdened by their own emotional hardships and begins learning how to rely on others while supporting them in return. Nonetheless, the life of a professional is not easy. Between tournaments, championships, and title matches, the pressure mounts as Rei advances through the ranks and encounters incredibly skilled opponents. As he manages his relationships with those who have grown close to him, the shogi player continues to search for the reason he plays the game that defines his career.",tv
38101,5-toubun no Hanayome,"Comedy, Harem, Romance, School, Shounen,",9,"Fuutarou. Uesugi. is. an. ace. high. school. student. but. leads. an. otherwise. tough. life. His. standoffish. personality. and. reclusive. nature. have. left. him. friendless. and. his. father. is. debt-ridden. forcing. his. family. to. scrape. by. One. day. during. his. lunch. break. Uesugi. argues. with. a. female. transfer. student. who. has. claimed. ""his. seat"". leading. both. of. them. to. dislike. each. other. That. same. day. he. is. presented. with. a. golden. opportunity. to. clear. his. family's. debt:. a. private. tutoring. gig. for. a. wealthy. family's. daughter. with. a. wage. of. five. times. the. market. price. He. accepts. the. proposal. but. is. horrified. to. discover. that. the. client. Itsuki. Nakano. is. the. girl. he. confronted. earlier!. After. unsuccessfully. trying. to. get. back. on. Itsuki's. good. side. Uesugi. finds. out. that. his. problems. don't. end. there:. Itsuki. is. actually. a. quintuplet. so. in. addition. to. her. he. must. also. tutor. her. sisters. Miku. Yotsuba. Nino. and. Ichika. who. despite. the. very. real. threat. of. flunking. want. nothing. to. do. with. a. tutor. However. his. family's. livelihood. is. on. the. line. so. Uesugi. pushes. on. adamant. in. his. resolve. to. rid. the. sisters. of. their. detest. for. studying. and. successfully. lead. them. to. graduation.","Fuutarou Uesugi is an ace high school student, but leads an otherwise tough life. His standoffish personality and reclusive nature have left him friendless, and his father is debt-ridden, forcing his family to scrape by. One day during his lunch break, Uesugi argues with a female transfer student who has claimed ""his seat,"" leading both of them to dislike each other. That same day, he is presented with a golden opportunity to clear his family's debt: a private tutoring gig for a wealthy family's daughter, with a wage of five times the market price. He accepts the proposal, but is horrified to discover that the client, Itsuki Nakano, is the girl he confronted earlier! After unsuccessfully trying to get back on Itsuki's good side, Uesugi finds out that his problems don't end there: Itsuki is actually a quintuplet, so in addition to her, he must also tutor her sisters—Miku, Yotsuba, Nino, and Ichika—who, despite the very real threat of flunking, want nothing to do with a tutor. However, his family's livelihood is on the line so Uesugi pushes on, adamant in his resolve to rid the sisters of their detest for studying and successfully lead them to graduation.",tv
39783,5-toubun no Hanayome ∬,"Comedy, Harem, Romance, School, Shounen,",9,Through. their. tutor. Fuutarou. Uesugi's. diligent. guidance. the. Nakano. quintuplets'. academic. performance. shows. signs. of. improvement. even. if. their. path. to. graduation. is. still. rocky. However. as. they. continue. to. cause. various. situations. that. delay. any. actual. tutoring. Fuutarou. becomes. increasingly. involved. with. their. personal. lives. further. complicating. their. relationship. with. each. other. On. another. note. Fuutarou. slowly. begins. to. realize. the. existence. of. a. possible. connection. between. him. and. the. past. he. believes. to. have. shared. with. one. of. the. five. girls. With. everyone's. feelings. beginning. to. develop. and. overlap. will. they. be. able. to. keep. their. bond. strictly. to. that. of. a. teacher. and. his. students. or. will. it. mature. into. something. else. entirely.,"Through their tutor Fuutarou Uesugi's diligent guidance, the Nakano quintuplets' academic performance shows signs of improvement, even if their path to graduation is still rocky. However, as they continue to cause various situations that delay any actual tutoring, Fuutarou becomes increasingly involved with their personal lives, further complicating their relationship with each other. On another note, Fuutarou slowly begins to realize the existence of a possible connection between him and the past he believes to have shared with one of the five girls. With everyone's feelings beginning to develop and overlap, will they be able to keep their bond strictly to that of a teacher and his students—or will it mature into something else entirely?",tv
48548,5-toubun no Hanayome Movie,"Comedy, Harem, Romance, School, Shounen,",9,Futaro. has. led. five. quintuplets. to. the. point. where. they. can. graduate. and. pursue. their. own. dreams. Now. finally. they. had. reached. their. final. school. festival. Having. decided. to. make. this. occasion. one. to. remember. Futaro. searches. for. his. feelings. for. the. five. quintuplets. (source:. ANN),"Futaro has led five quintuplets to the point where they can graduate and pursue their own dreams. Now, finally, they had reached their final school festival. Having decided to make this occasion one to remember, Futaro searches for his feelings for the five quintuplets. (source: ANN)",movie
41457,86,"Action, Drama, Mecha, Military, Sci-Fi,",8,"According. to. the. Republic. of. San. Magnolia. their. ongoing. war. against. the. Giadian. Empire. has. no. casualties. however. that. is. mere. propaganda. While. the. silver-haired. Alba. of. the. Republic's. eighty-five. sectors. live. safely. behind. protective. walls. those. of. different. appearances. are. interned. in. a. secret. eighty-sixth. faction. Known. within. the. military. as. the. Eighty-Six. they. are. forced. to. fight. against. the. Empire's. autonomous. Legion. under. the. command. of. the. Republican. ""Handlers. "" Vladilena. Milizé. is. assigned. to. the. Spearhead. squadron. to. replace. their. previous. Handler. Shunned. by. her. peers. for. being. a. fellow. Eighty-Six. supporter. she. continues. to. fight. against. their. inhumane. discrimination. Shinei. Nouzen. is. the. captain. of. the. Spearhead. squadron. Infamous. for. being. the. sole. survivor. of. every. squadron. he's. been. in. he. insists. on. shouldering. the. names. and. wishes. of. his. fallen. comrades. When. the. fates. of. these. young. souls. from. two. different. worlds. collide. will. it. ignite. the. spark. that. lights. their. path. to. salvation. or. will. they. burn. themselves. in. the. flames. of. despair.","According to the Republic of San Magnolia, their ongoing war against the Giadian Empire has no casualties—however, that is mere propaganda. While the silver-haired Alba of the Republic's eighty-five sectors live safely behind protective walls, those of different appearances are interned in a secret eighty-sixth faction. Known within the military as the Eighty-Six, they are forced to fight against the Empire's autonomous Legion under the command of the Republican ""Handlers."" Vladilena Milizé is assigned to the Spearhead squadron to replace their previous Handler. Shunned by her peers for being a fellow Eighty-Six supporter, she continues to fight against their inhumane discrimination. Shinei Nouzen is the captain of the Spearhead squadron. Infamous for being the sole survivor of every squadron he's been in, he insists on shouldering the names and wishes of his fallen comrades. When the fates of these young souls from two different worlds collide, will it ignite the spark that lights their path to salvation, or will they burn themselves in the flames of despair?",tv
48569,86 Part 2,"Action, Drama, Mecha, Military, Sci-Fi,",8,"The. disappearance. of. the. Spearhead. Squadron. beyond. the. horizon. does. little. to. hide. the. intensity. of. the. Republic. of. San. Magnolia's. endless. propaganda. Vladilena. Milizé. continues. to. operate. as. ""Handler. One"". the. commander. of. yet. another. dehumanized. 86th. faction's. squadron. in. the. continuous. war. against. the. Legion. On. the. Western. Front. Shinei. Nouzen. and. his. squad. are. quarantined. in. a. military. base. controlled. by. the. Federal. Republic. of. Giad. formerly. known. as. the. Giadian. Empire. The. newly-established. government. grants. the. saved. Eighty-Six. full. citizenship. and. freedom. Housed. by. the. president. Ernst. Zimmerman. himself. the. group. meets. his. adoptive. daughter. and. the. last. Empress. Augusta. Frederica. Adel-Adler. However. within. the. calm. of. this. tender. society. Shinei. and. his. team. feel. that. their. purpose. is. on. the. battlefield. Before. long. they. are. once. again. in. the. midst. of. the. Legion's. onslaught. as. a. part. of. the. Federacy's. Nordlicht. Squadron. accompanied. by. Augusta. Frederica. But. as. history. repeats. itself. they. realize. that. no. matter. the. side. death. and. pain. on. the. front. lines. are. the. only. comfort. they. know.","The disappearance of the Spearhead Squadron beyond the horizon does little to hide the intensity of the Republic of San Magnolia's endless propaganda. Vladilena Milizé continues to operate as ""Handler One,"" the commander of yet another dehumanized 86th faction's squadron in the continuous war against the Legion. On the Western Front, Shinei Nouzen and his squad are quarantined in a military base controlled by the Federal Republic of Giad, formerly known as the Giadian Empire. The newly-established government grants the saved Eighty-Six full citizenship and freedom. Housed by the president Ernst Zimmerman himself, the group meets his adoptive daughter and the last Empress, Augusta Frederica Adel-Adler. However, within the calm of this tender society, Shinei and his team feel that their purpose is on the battlefield. Before long, they are once again in the midst of the Legion's onslaught as a part of the Federacy's Nordlicht Squadron, accompanied by Augusta Frederica. But, as history repeats itself, they realize that no matter the side, death and pain on the front lines are the only comfort they know.",tv
32998,91 Days,"Action, Drama, Historical, OrganizedCrime,",7,As. a. child. living. in. the. town. of. Lawless. Angelo. Lagusa. has. witnessed. a. tragedy:. his. parents. and. younger. brother. have. been. mercilessly. slaughtered. by. the. Vanetti. mafia. family. Losing. everything. he. holds. dear. he. leaves. both. his. name. and. hometown. behind. adopting. the. new. identity. of. Avilio. Bruno. Seven. years. later. Avilio. finally. has. his. chance. for. revenge. when. he. receives. a. mysterious. letter. prompting. him. to. return. to. Lawless. Obliging. he. soon. encounters. the. Vanetti. don's. son. Nero. and. seeks. to. befriend. him. using. the. skills. he. has. quietly. honed. for. years. Set. during. the. Prohibition. era. 91. Days. tells. the. story. of. Avilio's. dark. bloodstained. path. to. vengeance. as. he. slowly. ends. each. of. the. men. involved. in. the. killing. of. his. family.,"As a child living in the town of Lawless, Angelo Lagusa has witnessed a tragedy: his parents and younger brother have been mercilessly slaughtered by the Vanetti mafia family. Losing everything he holds dear, he leaves both his name and hometown behind, adopting the new identity of Avilio Bruno. Seven years later, Avilio finally has his chance for revenge when he receives a mysterious letter prompting him to return to Lawless. Obliging, he soon encounters the Vanetti don's son, Nero, and seeks to befriend him using the skills he has quietly honed for years. Set during the Prohibition era, 91 Days tells the story of Avilio's dark, bloodstained path to vengeance, as he slowly ends each of the men involved in the killing of his family.",tv
33337,ACCA: 13-ku Kansatsu-ka,"AdultCast, Detective, Drama, Fantasy, Mystery, Seinen,",8,ACCA. a. national. body. of. the. kingdom. of. Dowa. that. provides. public. services. to. the. citizens. of. the. country. was. established. as. part. of. the. peace. settlement. between. the. king. of. Dowa. and. the. 13. states. of. the. country. during. a. revolt. One. hundred. years. later. Dowa. is. in. a. period. of. unprecedented. peace. due. in. part. to. the. ACCA. system. However. rumors. of. a. coup. d'état. start. to. surface. Jean. Otus. the. second-in-command. of. the. inspection. department. of. ACCA. is. charged. with. inspecting. all. 13. state. branches. What. will. he. discover. as. he. performs. his. audit. Intriguing. and. mysterious. ACCA:. 13-ku. Kansatsu-ka. is. a. politically-themed. mystery. that. reveals. a. world. of. diverse. cultures. and. lifestyles. with. intricate. connections. between. its. characters. as. the. truth. of. the. coup. d'état. slowly. unfolds.,"ACCA—a national body of the kingdom of Dowa that provides public services to the citizens of the country—was established as part of the peace settlement between the king of Dowa and the 13 states of the country during a revolt. One hundred years later, Dowa is in a period of unprecedented peace, due in part to the ACCA system. However, rumors of a coup d'état start to surface. Jean Otus, the second-in-command of the inspection department of ACCA, is charged with inspecting all 13 state branches. What will he discover as he performs his audit? Intriguing and mysterious, ACCA: 13-ku Kansatsu-ka is a politically-themed mystery that reveals a world of diverse cultures and lifestyles, with intricate connections between its characters, as the truth of the coup d'état slowly unfolds.",tv
