Anime,1st recomm,2nd recomm,3rd recomm
11eyes,Shuumatsu no Walkyrie,K,Taboo Tattoo
3-gatsu no Lion,Violet Evergarden,Kumichou Musume to Sewagakari,Bokutachi no Remake
5-toubun no Hanayome,Gekkan Shoujo Nozaki-kun,Rikei ga Koi ni Ochita no de Shoumei shitemita.,"Kanojo, Okarishimasu"
86,Tengen Toppa Gurren Lagann,Inuyashiki,Code Geass: Hangyaku no Lelouch
91 Days,Young Black Jack,Princess Principal,Rainbow: Nisha Rokubou no Shichinin
ACCA: 13-ku Kansatsu-ka,Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru,Id:Invaded,Psycho-Pass
Ajin,Koutetsujou no Kabaneri,Tokyo Ghoul,Mieruko-chan
Akame ga Kill!,Hai to Gensou no Grimgar,Tate no Yuusha no Nariagari,Kami no Tou
Akudama Drive,Cyberpunk: Edgerunners,Bubble,Seikaisuru Kado
Alice to Zouroku,Odd Taxi,Ranpo Kitan: Game of Laplace,Ousama Ranking
All Out!!,Re-Main,Prince of Stride: Alternative,Shakunetsu Kabaddi
Angel Beats!,Gakusen Toshi Asterisk,Makai Ouji: Devils and Realist,Saiyuuki Reload Blast
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,Mushishi,Natsume Yuujinchou,Mob Psycho 100
Another,Tokyo Ghoul,Ajin,Mieruko-chan
Ansatsu Kyoushitsu,Shijou Saikyou no Deshi Kenichi,Shakunetsu Kabaddi,Kuroko no Basket
Ao Ashi,Hanebado!,Buzzer Beater,Captain Tsubasa
Ao Haru Ride,Tonari no Kaibutsu-kun,Nisekoi,Masamune-kun no Revenge
Ao no Exorcist: Kyoto Fujouou-hen,Tensei shitara Ken Deshita,BlazBlue: Alter Memory,Goblin Slayer
Aoharu x Kikanjuu,SK8,Keppeki Danshi! Aoyama-kun,Hajime no Ippo
Arcana Famiglia,Hataraku Maou-sama!,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,Shinigami Bocchan to Kuro Maid
Ashita no Joe,Megalo Box,Uma Musume: Pretty Derby,Eyeshield 21
Baccano!,Soul Eater,Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,Mairimashita! Iruma-kun
Bakemonogatari,Fate/stay night,Shinigami Bocchan to Kuro Maid,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai
Bakuman.,Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,Itazura na Kiss,Rikei ga Koi ni Ochita no de Shoumei shitemita.
Ballroom e Youkoso,Slam Dunk,Suki tte Ii na yo.,Jaku-Chara Tomozaki-kun
Banana Fish,Tate no Yuusha no Nariagari,Hai to Gensou no Grimgar,Akame ga Kill!
Battle Spirits: Burning Soul,Captain Tsubasa,Jormungand,Golden Kamuy
Beastars,Kakegurui,Ao Haru Ride,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen
Beyblade Burst,Divine Gate,Star Wars: Visions,Ashita no Joe
Bishoujo Senshi Sailor Moon,"Fuufu Ijou, Koibito Miman.",Itazura na Kiss,5-toubun no Hanayome
Black Bullet,Made in Abyss,World Trigger,Subete ga F ni Naru
Black Cat (TV),Darker than Black: Kuro no Keiyakusha,Darwin's Game,One Punch Man
Black Clover,Pokemon (2019),Digimon Adventure,Toriko
Blade,Koutetsujou no Kabaneri,Gantz,Highschool of the Dead
BlazBlue: Alter Memory,"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru",Tensei shitara Ken Deshita,Magi: The Labyrinth of Magic
Bleach,Bungou Stray Dogs,Yozakura Quartet: Hana no Uta,Shuumatsu no Walkyrie
Blood Lad,Yuu Yuu Hakusho,Ushio to Tora (TV),Saiyuuki Reload Blast
Blue Period,Violet Evergarden,Kumichou Musume to Sewagakari,Bokutachi no Remake
Bocchi the Rock!,Boku no Hero Academia,Spy x Family,Detective Conan
Boku dake ga Inai Machi,Summertime Render,Durarara!!,Ajin
Boku no Hero Academia,Spy x Family,Toriko,Pokemon (2019)
Bokutachi no Remake,Sakura-sou no Pet na Kanojo,"Ijiranaide, Nagatoro-san",Gokushufudou
Brave 10,Yasuke,Rurouni Kenshin: Meiji Kenkaku Romantan,Gintama
Btooom!,Subete ga F ni Naru,Black Bullet,Akudama Drive
Bungou Stray Dogs,Shaman King,Yozakura Quartet: Hana no Uta,K
Bus Gamer,Tomodachi Game,ChainsawMan,Jormungand
Busou Shoujo Machiavellianism,Shijou Saikyou no Deshi Kenichi,Shakunetsu Kabaddi,Iwa Kakeru!: Sport Climbing Girls
Buzzer Beater,Hanebado!,Ao Ashi,Captain Tsubasa
C: The Money of Soul and Possibility Control,Munou na Nana,Darker than Black: Kuro no Keiyakusha,Darwin's Game
Captain Tsubasa,BlueLock,Hanebado!,Ao Ashi
Cardcaptor Sakura,Gakusen Toshi Asterisk,Mahouka Koukou no Rettousei,Angel Beats!
ChainsawMan,Golden Kamuy,Magi: The Labyrinth of Magic,Goblin Slayer
Charlotte,Code:Breaker,Slam Dunk,Haikyuu!!
Clannad,Kokoro Connect,Shinigami Bocchan to Kuro Maid,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai
Claymore,Taboo Tattoo,K,Bungou Stray Dogs
Clockwork Planet,Divine Gate,Made in Abyss,Seikaisuru Kado
Code Geass: Hangyaku no Lelouch,86,Kill la Kill,Code:Breaker
Code:Breaker,Bleach,Shaman King,Kill la Kill
Cowboy Bebop,Trigun,Terra Formars,The God of High School
D.Gray-man,Bungou Stray Dogs,Bleach,Shaman King
Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen,Zankyou no Terror,Tokyo Ghoul,Ajin
Darker than Black: Kuro no Keiyakusha,DRAMAtical Murder,Black Cat (TV),Needless
Darwin's Game,DRAMAtical Murder,Black Cat (TV),Needless
Days (TV),All Out!!,Prince of Stride: Alternative,Shakunetsu Kabaddi
Deadman Wonderland,Kiseijuu: Sei no Kakuritsu,Ajin,Koutetsujou no Kabaneri
Death Note,Psycho-Pass,Monster,Kokkoku
Death Parade,Zankyou no Terror,Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru,Yuukoku no Moriarty
Deatte 5-byou de Battle,Taboo Tattoo,11eyes,K
Detective Conan,Toriko,Digimon Adventure,Pokemon (2019)
Devil May Cry,Ushio to Tora (TV),Kami no Tou,Rokka no Yuusha
Devil Survivor 2 The Animation,Durarara!!,Shiguang Dailiren,Donten ni Warau
Digimon Adventure,Toriko,Kono Subarashii Sekai ni Shukufuku wo!,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Dimension W,Bubble,Akudama Drive,Seikaisuru Kado
Divine Gate,Clockwork Planet,Black Bullet,World Trigger
