Anime,1st recomm,2nd recomm,3rd recomm
11eyes,Owari no Seraph,Mieruko-chan,Aoharu x Kikanjuu
3-gatsu no Lion,Sakura-sou no Pet na Kanojo,Jaku-Chara Tomozaki-kun,Log Horizon
5-toubun no Hanayome,Mairimashita! Iruma-kun,Suki tte Ii na yo.,Slam Dunk
86,Gintama,Romeo x Juliet,Akame ga Kill!
91 Days,Boku dake ga Inai Machi,Summertime Render,Kokkoku
ACCA: 13-ku Kansatsu-ka,Magi: The Kingdom of Magic,Shuumatsu no WalkÃ¼re,Arcana Famiglia
Ajin,Munou na Nana,Owari no Seraph,Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru
Akame ga Kill!,Black Cat (TV),Death Note,Koutetsujou no Kabaneri
Akudama Drive,Zankyou no Terror,Kekkai Sensen,Death Note
Alice to Zouroku,Kami no Tou,Fairy Tail,Deatte 5-byou de Battle
All Out!!,Eyeshield 21,Keijo!!!!!!!!,Saint Seiya
Angel Beats!,Ajin,Yuuâ˜†Yuuâ˜†Hakusho,Gleipnir
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,Kono Subarashii Sekai ni Shukufuku wo!,Natsume Yuujinchou,Clannad
Another,Shijou Saikyou no Deshi Kenichi,Tonari no Kaibutsu-kun,Suki tte Ii na yo.
Ansatsu Kyoushitsu,High School DxD,Highschool of the Dead,Deadman Wonderland
Ao Ashi,Blue Lock,Hanebado!,Tokyo Revengers
Ao Haru Ride,Slam Dunk,Suki tte Ii na yo.,Masamune-kun no Revenge
Ao no Exorcist: Kyoto Fujouou-hen,Magic Kaito 1412,Ushio to Tora (TV),Kuroshitsuji
Aoharu x Kikanjuu,Re:Zero kara Hajimeru Isekai Seikatsu,High School DxD,Kono Subarashii Sekai ni Shukufuku wo!
Arcana Famiglia,Romeo x Juliet,"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru",K
Ashita no Joe,Baki,Kenpuu Denki Berserk,One Punch Man
Baccano!,Cyberpunk: Edgerunners,Donten ni Warau,Baki
Bakemonogatari,Kill la Kill,Seirei Gensouki,Magic Kaito 1412
Bakuman.,Sono Bisque Doll wa Koi wo Suru,Yuâ˜†Giâ˜†Oh! Duel Monsters,Shouwa Genroku Rakugo Shinjuu
Ballroom e Youkoso,Blue Period,C: The Money of Soul and Possibility Control,Slam Dunk
Banana Fish,Shakunetsu Kabaddi,Magic Kaito 1412,Kuroko no Basket
Battle Spirits: Burning Soul,Sword Art Online,K,Fairy Tail
Beastars,Shinigami Bocchan to Kuro Maid,Aggressive Retsuko (ONA),Aggressive Retsuko (ONA)
Beyblade Burst,Ga-Rei: Zero,The God of High School,Baki
Bishoujo Senshi Sailor Moon,Kono Subarashii Sekai ni Shukufuku wo!,Aoharu x Kikanjuu,Goblin Slayer
Black Bullet,Koutetsujou no Kabaneri,Owari no Seraph,God Eater
Black Cat (TV),Hellsing,Blood Lad,Hataraku Maou-sama!
Black Clover,Sono Bisque Doll wa Koi wo Suru,Rakudai Kishi no Cavalry,Fate/stay night
Blade,Hellsing,Tensei shitara Ken Deshita,Bleach
BlazBlue: Alter Memory,Devil Survivor 2 The Animation,Zombieland Saga,Akudama Drive
Bleach,Fate/stay night,Hellsing,Kono Subarashii Sekai ni Shukufuku wo!
Blood Lad,Hellsing,Black Cat (TV),Hataraku Maou-sama!
Blue Period,Tonari no Kaibutsu-kun,Horimiya,Mairimashita! Iruma-kun
Bocchi the Rock!,Kanojo mo Kanojo,"Fuufu Ijou, Koibito Miman.",Yowamushi Pedal
Boku dake ga Inai Machi,Magic Kaito 1412,Detective Conan,Angel Beats!
Boku no Hero Academia,One Punch Man,Mushoku Tensei: Isekai Ittara Honki Dasu,Dr. Stone
Bokutachi no Remake,5-toubun no Hanayome,Kokkoku,Jaku-Chara Tomozaki-kun
Brave 10,Kono Subarashii Sekai ni Shukufuku wo!,Fate/stay night,Zombieland Saga
Btooom!,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,Kono Subarashii Sekai ni Shukufuku wo!,Chainsaw Man
Bungou Stray Dogs,Owari no Seraph,Highschool of the Dead,Naruto
Bus Gamer,Kokkoku,Log Horizon,Hai to Gensou no Grimgar
Busou Shoujo Machiavellianism,Gleipnir,Shijou Saikyou no Deshi Kenichi,Charlotte
Buzzer Beater,Banana Fish,Log Horizon,Cyberpunk: Edgerunners
C: The Money of Soul and Possibility Control,Makai Ouji: Devils and Realist,Tokyo Ghoul,5-toubun no Hanayome
Captain Tsubasa,Shakunetsu Kabaddi,Keppeki Danshi! Aoyama-kun,Blue Lock
Cardcaptor Sakura,Sen to Chihiro no Kamikakushi,Code:Breaker,Mahou Sensou
Chainsaw Man,Death Note,Trigun,Re:Zero kara Hajimeru Isekai Seikatsu
Charlotte,High School DxD,Ballroom e Youkoso,Gleipnir
Clannad,Slam Dunk,Suki tte Ii na yo.,Tokyo Ghoul
Claymore,Goblin Slayer,Bleach,Brave 10
Clockwork Planet,Fullmetal Alchemist: Brotherhood,Saihate no Paladin,Magic Kaito 1412
Code Geass: Hangyaku no Lelouch,Cyberpunk: Edgerunners,Tokyo Ghoul,Donten ni Warau
Code:Breaker,Re:Zero kara Hajimeru Isekai Seikatsu,Kono Subarashii Sekai ni Shukufuku wo!,Darwin's Game
Cowboy Bebop,Kekkai Sensen,Vivy: Fluorite Eye's Song,Detective Conan
D.Gray-man,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",Bleach,One Punch Man
Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen,Devil Survivor 2 The Animation,Bleach,Ao no Exorcist: Kyoto Fujouou-hen
Darker than Black: Kuro no Keiyakusha,Needless,Gintama,Blood Lad
Darwin's Game,Code:Breaker,Shijou Saikyou no Deshi Kenichi,Tokyo Ghoul
Days (TV),Shakunetsu Kabaddi,Captain Tsubasa,Keppeki Danshi! Aoyama-kun
Deadman Wonderland,Baki,Fate/stay night,Zankyou no Terror
Death Note,Chainsaw Man,Makai Ouji: Devils and Realist,Akame ga Kill!
Death Parade,Bleach,God Eater,Death Note
Deatte 5-byou de Battle,Iwa Kakeru!: Sport Climbing Girls,Youjo Senki,Highschool of the Dead
Detective Conan,Fate/stay night,Boku dake ga Inai Machi,Magic Kaito 1412
Devil May Cry,Gokushufudou,Kumichou Musume to Sewagakari,Mairimashita! Iruma-kun
Devil Survivor 2 The Animation,Highschool of the Dead,Fate/stay night,Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen
Digimon Adventure,Hotarubi no Mori e,Cardcaptor Sakura,Kakurenbo
Dimension W,Darker than Black: Kuro no Keiyakusha,Baccano!,Neon Genesis Evangelion
Divine Gate,Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,Black Clover,Dragon Ball
Donten ni Warau,Hanebado!,Ushio to Tora (TV),Zankyou no Terror
Dr. Stone,Kami no Tou,Mushoku Tensei: Isekai Ittara Honki Dasu,Great Teacher Onizuka
Dragon Ball,Sono Bisque Doll wa Koi wo Suru,Cardcaptor Sakura,Kono Subarashii Sekai ni Shukufuku wo!
DRAMAtical Murder,Great Teacher Onizuka,Donten ni Warau,Gokushufudou
Drifters,Baki,Neon Genesis Evangelion,Makai Ouji: Devils and Realist
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,Youjo Senki,Saihate no Paladin,Sword Art Online
Durarara!!,Log Horizon,Cyberpunk: Edgerunners,Tokyo Ghoul
Elfen Lied,Kiseijuu: Sei no Kakuritsu,Owari no Seraph,Koutetsujou no Kabaneri
Enen no Shouboutai,Kiseijuu: Sei no Kakuritsu,Kekkai Sensen,Neon Genesis Evangelion
Eyeshield 21,Taboo Tattoo,Code:Breaker,Munou na Nana
Fairy Tail,Alice to Zouroku,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,Howl no Ugoku Shiro
Fate/stay night,Highschool of the Dead,Ranpo Kitan: Game of Laplace,Kono Subarashii Sekai ni Shukufuku wo!
Fruits Basket 1st Season,Summertime Render,Zetsuen no Tempest,Sen to Chihiro no Kamikakushi
Fullmetal Alchemist: Brotherhood,Seirei Gensouki,Makai Ouji: Devils and Realist,Summertime Render
"Fuufu Ijou, Koibito Miman.","Kanojo, Okarishimasu",Gekkan Shoujo Nozaki-kun,Masamune-kun no Revenge
Gakusen Toshi Asterisk,Hanebado!,Log Horizon,Ansatsu Kyoushitsu
Gangsta.,Owari no Seraph,Taboo Tattoo,Lycoris Recoil
Gantz,Koutetsujou no Kabaneri,Kiseijuu: Sei no Kakuritsu,Shingeki no Kyojin
Ga-Rei: Zero,Summertime Render,Psycho-Pass,Bleach
Gekkan Shoujo Nozaki-kun,"Kanojo, Okarishimasu",Masamune-kun no Revenge,Tomodachi Game
Giant Killing,Bokutachi no Remake,Kokkoku,Donten ni Warau
Gintama,Donten ni Warau,Neon Genesis Evangelion,Drifters
Gleipnir,Kono Subarashii Sekai ni Shukufuku wo!,11eyes,High School DxD
Goblin Slayer,Blood Lad,Bishoujo Senshi Sailor Moon,Kono Subarashii Sekai ni Shukufuku wo!
God Eater,Koutetsujou no Kabaneri,Kiseijuu: Sei no Kakuritsu,Hataraku Maou-sama!
Golden Kamuy,Seirei Gensouki,Boku dake ga Inai Machi,Chainsaw Man
Golgo 13 (TV),Hai to Gensou no Grimgar,Rakudai Kishi no Cavalry,Hinomaru Zumou
Great Teacher Onizuka,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,Yowamushi Pedal,DRAMAtical Murder
Gyakkyou Burai Kaiji: Ultimate Survivor,Chainsaw Man,Bus Gamer,Makai Ouji: Devils and Realist
Hai to Gensou no Grimgar,One Punch Man,Owari no Seraph,Akame ga Kill!
Haikyuu!!,Hanebado!,Ryman's Club,Keijo!!!!!!!!
Hajime no Ippo,Shijou Saikyou no Deshi Kenichi,Ashita no Joe,Bungou Stray Dogs
Hakata Tonkotsu Ramens,Cike Wu Liuqi,Rurouni Kenshin: Meiji Kenkaku Romantan,Detective Conan
Hamatora The Animation,No Game No Life,Subete ga F ni Naru,Death Parade
Hanebado!,Ryman's Club,Kokkoku,Tenki no Ko
Harukana Receive,Keijo!!!!!!!!,Mahou Sensou,Hajime no Ippo
Hataraku Maou-sama!,God Eater,Shingeki no Kyojin,Devil Survivor 2 The Animation
Hellsing,Bleach,God Eater,Black Cat (TV)
High School DxD,Slam Dunk,Masamune-kun no Revenge,Tokyo Ghoul
Highschool of the Dead,Fate/stay night,Brave 10,Zombieland Saga
Higurashi no Naku Koro ni,Persona 4 the Animation,Tomodachi Game,Summertime Render
Hinamatsuri (TV),High School DxD,Gleipnir,Aoharu x Kikanjuu
Hinomaru Zumou,Rakudai Kishi no Cavalry,Baki,Inazuma Eleven
Horimiya,Blue Period,Suki tte Ii na yo.,Natsume Yuujinchou
Hunter x Hunter (2011),Kill la Kill,Detective Conan,Baki
Id:Invaded,Joker Game,Detective Conan,Princess Principal
"Ijiranaide, Nagatoro-san",Gekkan Shoujo Nozaki-kun,Sono Bisque Doll wa Koi wo Suru,Shijou Saikyou no Deshi Kenichi
